Image;PostLink;Content;Type;Timestamp;Reactions;Comments;Shared;Clicks;LinkClicks;Impressions;Impressions (Organic);Impressions (Paid);Reach;Reach (Organic);Reach (Paid);VideoViews (Organic);VideoViews (Paid);VideoTimeWatched;Engagement;Spent
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/343139598_101221552971306_6411870508226832886_n.jpg?stp=dst-jpg_s130x130&_nc_cat=102&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=URaKwAU9oqgAX8833AP&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfBzPRi5nZwNgP_MGHNEMbi5FVYMEU1d-E8Yjt2P5Xp08w&oe=64830485";"https://facebook.com/105921658046/posts/609618181208865";"Atilio Borón se suma al análisis de #Desiguales y da su punto de vista acerca del rumbo que debe seguir el Frente de Todos de cara a las elecciones presidenciales.

Miralo en www.tvpublica.com.ar";"video";2023-04-30 23:28;18;1;1;46;0;3019;3019;0;3019;3019;0;719;0;5;"21.86";"0"
"https://scontent-lcy1-2.xx.fbcdn.net/v/t15.5256-10/343929978_546370210996387_3505788763208406731_n.jpg?stp=dst-jpg_s130x130&_nc_cat=105&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=nalDAkCUI74AX9y9gi4&_nc_ht=scontent-lcy1-2.xx&edm=AKIiGfEEAAAA&oh=00_AfA21F-kO9Yl_XRQXbTZxggw_ZKGaD2LH9iNTXWx6wN7Sw&oe=64845C38";"https://facebook.com/105921658046/posts/609613877875962";"El debate se abre en #Desiguales: Mario Wainfeld, Atilio Borón, Artemio López y Gabriela Granata conversan acerca de la estrategia electoral del Frente de Todos luego del acto de Cristina en La Plata.

Sumate en www.tvpublica.com.ar";"video";2023-04-30 23:18;40;9;5;102;2;5134;5134;0;5134;5134;0;1520;0;10;"30.39";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/342870762_780553593375082_5108336629579443112_n.jpg?stp=dst-jpg_s130x130&_nc_cat=111&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=vzgOzP-Amz4AX_tHZob&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfAmcYbyUapwD8AJ8AIN5F0N-yJqfZYGUW-jGNHyoVI4yQ&oe=64830246";"https://facebook.com/105921658046/posts/609546247882725";"🇵🇾Elecciones presidenciales en Paraguay: Santiago Peña, candidato a la presidencia por el gobernante Partido Colorado, se impone ampliamente en los primeros números del escrutinio.

Más información en www.tvpublica.com.ar";"video";2023-04-30 20:09;22;3;2;116;0;4345;4345;0;4235;4235;0;869;0;8;"33.77";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/342581496_132291809828767_5847272273174081780_n.jpg?stp=dst-jpg_s130x130&_nc_cat=103&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=0KhNSLqfs18AX_WWeoA&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfAMPxWrwtWCStOZ1HypA8nXTsbIWS9KkgMN8izUTvH9jA&oe=648311AD";"https://facebook.com/105921658046/posts/609544411216242";"Alberto Fernández se reunirá con Lula da Silva para conversar sobre los acuerdos comerciales firmados con Brasil.

Más información en www.tvpublica.com.ar";"video";2023-04-30 20:04;28;5;5;60;0;4938;4938;0;4816;4816;0;1233;0;6;"20.35";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/343635346_666314595331819_4955296443822086919_n.jpg?stp=dst-jpg_s130x130&_nc_cat=103&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=VjoR6YPXIHEAX-anuTb&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfCqL-mCAol7ytA1Rcge7kTMkgAOtN-kg9X4mNHqJLwAkw&oe=6483C4B4";"https://facebook.com/105921658046/posts/609542271216456";"Murió Fructuoso Álvarez González, el autor material de la Masacre de Flores. 

Más información en www.tvpublica.com.ar";"video";2023-04-30 19:57;37;7;1;186;4;7047;7047;0;7015;7015;0;1794;0;7;"32.93";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/344581986_1353584298541169_1352520248386735130_n.jpg?stp=dst-jpg_s130x130&_nc_cat=104&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=PpgXwv2XQyMAX_cZCm0&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfDayTEFumIYDRNJ9R2CWrWN0gZ-WtiWNXcTC4bresNe6A&oe=6482B397";"https://facebook.com/105921658046/posts/609481131222570";"#POR 1-4 #BAN |47' ST| ¡Gol de Banfield! Eliana Rosa cierra de cabeza la goleada de Banfield frente a El Porvenir.

Mirá El Porvenir vs Banfield en http://bit.ly/3oXSavQ

#FútbolFemeninoEnTVP";"video";2023-04-30 17:06;9;0;0;23;0;2624;2624;0;2598;2598;0;505;0;3;"12.32";"0"
"https://scontent-lcy1-2.xx.fbcdn.net/v/t15.5256-10/343288206_940748387069633_6894268296260968317_n.jpg?stp=dst-jpg_s130x130&_nc_cat=110&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=w0ZpHWSNZFQAX_BDosZ&_nc_ht=scontent-lcy1-2.xx&edm=AKIiGfEEAAAA&oh=00_AfDW5iIiDWDLF2uzrBpYVEgJo_suIFwn3Thd4SMEfrWSPw&oe=6483C4DE";"https://facebook.com/105921658046/posts/609478157889534";"#POR 1-3 #BAN |39' ST| ¡Gol de Verónica Acuña! Doblete de la delantera que marcar el tercer gol para el visitante y se impone en el estadio Gildo Francisco Ghersinich.

Mirá El Porvenir vs Banfield en http://bit.ly/3oXSavQ

#FútbolFemeninoEnTVP";"video";2023-04-30 17:00;28;3;0;78;0;9724;9724;0;9596;9596;0;2313;0;4;"11.36";"0"
"https://scontent-lcy1-2.xx.fbcdn.net/v/t15.5256-10/339033249_160875453603051_8657194937037582083_n.jpg?stp=dst-jpg_s130x130&_nc_cat=110&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=PPQMrG3PNc4AX_qGkBl&_nc_ht=scontent-lcy1-2.xx&edm=AKIiGfEEAAAA&oh=00_AfDRy7gExhzMH-f1SPNuOxV9UpbtE_oV5HtUZpwFPJA8qQ&oe=6482AFCF";"https://facebook.com/105921658046/posts/609471131223570";"#POR 1-2 #BAN |26' ST| ¡Segundo gol para Banfield! Con una impecable asistencia de Verónica Acuña, Natalia Rea canta el segundo para Banfield. 

Mirá El Porvenir vs Banfield en http://bit.ly/3oXSavQ

#FútbolFemeninoEnTVP";"video";2023-04-30 16:51;36;2;2;161;0;15013;15013;0;15013;15013;0;3396;0;4;"13.39";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/344325054_563169665803591_3919793004320809423_n.jpg?stp=dst-jpg_s130x130&_nc_cat=100&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=czFaS35rO_gAX8-nJTj&_nc_oc=AQkCvPfb65XwEaE6FSX6ISwLEmvxTJAIvWW0jDvPs-qZw57DVwQUBuqe7thlRSUnOr8&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfChhaDpgb9rCiOvYdp0Gm7O-XvpSBxp2PHx6IlLpXX90w&oe=648402EF";"https://facebook.com/105921658046/posts/609466347890715";"#POR 1-1 #BAN |10' ST| ¡Gol de Banfield! Verónica Acuña no da oportunidad por perdida. La futbolista de 19 años impuso el empate en el estadio Gildo Francisco Ghersinich. 

Mirá El Porvenir vs Banfield en http://bit.ly/3oXSavQ

#FútbolFemeninoEnTVP";"video";2023-04-30 16:43;6;0;0;49;0;7154;7154;0;7154;7154;0;2317;0;6;"7.69";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/344623619_251471007270871_8178534950406912183_n.jpg?stp=dst-jpg_s130x130&_nc_cat=104&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=D6RS1W1uEwAAX_8cbzY&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfBUpGfqzPR4t-zlgKEyL30DCTp_9PsGpnoq1dPCS2NwYg&oe=6482D666";"https://facebook.com/105921658046/posts/609450827892267";"#POR 1-0 #BAN |04' PT| El estadio Gildo Francisco Ghersinich grita GOL de la mano de Karina Merlo. El Porvenir abre el marcador en Gerli frente a Banfield.

Mirá El Porvenir vs @CAB_oficial en http://bit.ly/3oXSavQ

#FútbolFemeninoEnTVP";"video";2023-04-30 16:05;25;4;2;100;0;10075;10075;0;9777;9777;0;2445;0;4;"13.4";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/343959169_1230414537844565_4279502339728368008_n.jpg?stp=dst-jpg_p130x130&_nc_cat=104&ccb=1-7&_nc_sid=730e14&_nc_ohc=ys4dgypA91QAX8GtlbJ&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfC6Uta9aWkFdMvlYeaOShYI9rfW375hXEofk3OlCJUv8Q&oe=6483AC02";"https://facebook.com/105921658046/posts/609416784562338";"¡Viví la 9na fecha del #CampeonatoYPF!

Comienza el partido entre El Porvenir y Banfield. 

Seguí a tu equipo favorito en bit.ly/3oXSavQ

#FutbolFemeninoEnTVP";"photo";2023-04-30 14:54;19;1;0;44;1;12582;12582;0;12259;12259;0;0;0;0;"5.22";"0"
"https://scontent-lcy1-2.xx.fbcdn.net/v/t39.30808-6/343787682_1227317211259469_7625693614423715980_n.jpg?stp=dst-jpg_p130x130&_nc_cat=105&ccb=1-7&_nc_sid=730e14&_nc_ohc=rpxaV934HeAAX9nG9vl&_nc_ht=scontent-lcy1-2.xx&edm=AKIiGfEEAAAA&oh=00_AfCxlXe0Q0JX1th2ObCnN-t-QcOfCUuryHxjjAvbukfs6g&oe=6482A3CC";"https://facebook.com/105921658046/posts/609396481231035";"¡Sigue la novena fecha del Torneo Femenino YPF! A las 14:30 El Porvenir se enfrenta a Banfield en el estadio Gildo Francisco Ghersinich, en Gerli. Mirá el partido en https://bit.ly/3oXSavQ  #FútbolFemeninoEnTVP DEPORTV";"photo";2023-04-30 14:18;7;0;0;31;2;8676;8676;0;8377;8377;0;0;0;0;"4.54";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/343385810_1012416766789181_5207788612964485530_n.jpg?stp=dst-jpg_s130x130&_nc_cat=103&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=s-anhNTQgmgAX8RJh6W&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfDyTDpliR0Fu0aDEDid5-3nGGz-CdR9_ArBNRrxLOJtOw&oe=64836637";"https://facebook.com/105921658046/posts/608936004610416";"¡Reviví #Cosquín2023!  En la novena luna de Cosquín, Abel Pintos - Oficial interpretó ""Cuando llegue el alba"" junto a Milo Marotti, el pequeño cantor de 11 años.

Disfrutá la mejor música nacional en www.tvpublica.com.ar";"video";2023-04-29 22:26;292;13;42;402;6;18268;18268;0;18268;18268;0;5706;0;10;"41";"0"
