Id;URL;Text;Timestamp;Impressions (Organic);Impressions (Paid);Favorites (Organic);Favorites (Paid);Retweets (Organic);Retweets (Paid);Replies (Organic);Replies (Paid);Quotes;Link Clicks (Organic);Link Clicks (Paid);Profile Clicks (Organic);Profile Clicks (Paid);Engagement;Video views (Organic);Video views (Paid)
"1620491719304257539";"https://twitter.com/a/status/1620491719304257539";"¡Claves para cocinar un budín rico y esponjoso! Seguí @cocinerosarg
 en https://t.co/fnEKkuadQ9 https://t.co/dtifbZPgfC";2023-01-31 14:38;"1632";"0";"2";"0";;;;;;"2";"0";"5";"0";"5.51";"684";"0"
"1620486744876646407";"https://twitter.com/a/status/1620486744876646407";".@alferdez recorre la empresa que distribuirá más de 11 millones de libros hechos en Argentina, a estudiantes de todo el país, en el marco del programa #LibrosParaAprender. https://t.co/W4tRgKrzIJ";2023-01-31 14:18;"2708";"0";"16";"0";"2";"0";;;"1";;;"4";"0";"8.49";"1007";"0"
"1620467770725990400";"https://twitter.com/a/status/1620467770725990400";"¡Tremenda receta de pollo, papas y vegetales! Mirá @cocinerosarg y aprendé como reversionar este plato tradicional. Seguí https://t.co/fnEKkuadQ9 https://t.co/riPpBNlcAh";2023-01-31 13:03;"1819";"0";"4";"0";;;;;;;;"4";"0";"4.4";"623";"0"
"1620460409835905026";"https://twitter.com/a/status/1620460409835905026";"Franco Armani, campeón del mundo en Qatar, brindó una conferencia de prensa, dio detalles sobre el arranque de Demichelis y le metió presión a Nicolás Otamendi para que se sume al conjunto millonario. Más información en https://t.co/fnEKkuaLFH https://t.co/nnXbob0jGA";2023-01-31 12:34;"2614";"0";"16";"0";"2";"0";"1";"0";"1";;;;;"7.65";"963";"0"
"1620457035685892106";"https://twitter.com/a/status/1620457035685892106";"La Justicia de Mar del Plata negó la libertad condicional a dos de los condenados por el crimen de Natalia Melmann. Oscar Echenique y Ricardo Anselmini, hallados culpables de abusar y asesinar a la joven de 15 años, habían solicitado recuperar la libertad con anticipación. https://t.co/AuAKoCGGO7";2023-01-31 12:20;"1970";"0";"10";"0";;;;;;;;;;"5.08";"680";"0"
"1620454435452293121";"https://twitter.com/a/status/1620454435452293121";"A través de la empresa ARSAT, la Secretaría de Innovación Pública lleva a cabo el programa ""Mi Pueblo Conectado"" para brindar conectividad  a las localidades más vulnerables. Mirá https://t.co/fnEKkuadQ9 https://t.co/TDMJXyymeZ";2023-01-31 12:10;"2831";"0";"1";"0";;;"1";"0";"1";"3";"0";;;"2.12";"729";"0"
"1620448775461298177";"https://twitter.com/a/status/1620448775461298177";"El Gobierno pagó US$ 692 millones al Fondo Monetario Internacional. El miércoles se abonarán otros US$ 710 millones del préstamo pedido durante la administración de Mauricio Macri.  Más información en https://t.co/fnEKkuadQ9 https://t.co/akhORKu7vk";2023-01-31 11:47;"2026";"0";"5";"0";"3";"0";;;"1";"2";"0";;;"5.43";"639";"0"
"1620446212586356737";"https://twitter.com/a/status/1620446212586356737";"Sindicatos y partidos de la oposición francesa realizan una nueva jornada de huelgas y movilizaciones contra la reforma jubilatoria que promueve el gobierno de Emmanuel Macron. Más información en https://t.co/fnEKkuadQ9 https://t.co/tcTLRaTXcM";2023-01-31 11:37;"1545";"0";"3";"0";"1";"0";;;;;;"2";"0";"3.88";"516";"0"
"1620416512581328897";"https://twitter.com/a/status/1620416512581328897";"#MañanasPúblicas llegó a Mendoza, precisamente en San Rafael, para conocer ""La Abeja"", la bodega más antigua, construida en 1883 por Rodolfo Iselín, inmigrante francés. https://t.co/6Ppobkt50P";2023-01-31 09:39;"2987";"0";"14";"0";"2";"0";;;;;;"2";"0";"6.03";"1469";"0"
"1620412171770564608";"https://twitter.com/a/status/1620412171770564608";"Ya comenzamos a viajar por el país, junto a todo el equipo de #MañanasPúblicas recorremos los lugares más hermosos de Argentina. 

Todos los programas en https://t.co/GYiXqQWVqY https://t.co/bazr3C3HoA";2023-01-31 09:22;"1974";"0";"4";"0";;;;;;"1";"0";"1";"0";"3.04";"658";"0"
