Image;PostLink;Content;Type;Timestamp;Reactions;Comments;Shared;Clicks;LinkClicks;Impressions;Impressions (Organic);Impressions (Paid);Reach;Reach (Organic);Reach (Paid);VideoViews (Organic);VideoViews (Paid);VideoTimeWatched;Engagement;Spent
"https://scontent-lhr8-2.xx.fbcdn.net/v/t15.5256-10/350883610_632045845479626_5244105073912799893_n.jpg?stp=dst-jpg_s130x130&_nc_cat=101&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=7FIA0CacYBwAX8RugZN&_nc_ht=scontent-lhr8-2.xx&edm=AKIiGfEEAAAA&oh=00_AfBClfHD7WHn6rsk-T-nQ0-VjUvbx9PzXw3B3dVqyNWwmQ&oe=6485105A";"https://facebook.com/105921658046/posts/628644292639587";"El 3 de abril de 1985 se estreno ""La Historia Oficial"", una película que indagó acerca de la apropiación de menores durante la última dictadura cívico militar.

Reviví más hechos de los últimos #40AñosDeDemocracia en www.tvpublica.com.ar";"video";2023-05-31 23:22;27;9;6;61;0;2328;2328;0;2270;2270;0;551;0;10;"45.37";"0"
"https://scontent-lhr8-1.xx.fbcdn.net/v/t15.5256-10/350789660_955053869024940_8952935504544487422_n.jpg?stp=dst-jpg_s130x130&_nc_cat=107&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=hpWKG11JMJsAX_ffl5_&_nc_ht=scontent-lhr8-1.xx&edm=AKIiGfEEAAAA&oh=00_AfB4dr1ksm8baudWL5Wzy74riURmU_1JlaevL5Gj7DsJAQ&oe=64865CC7";"https://facebook.com/105921658046/posts/628639882640028";"El 15 de julio de 2010 se sanciona la ley de matrimonio igualitario. Con la sanción de esta ley, Argentina se convirtió en el primer país de América Latina y el segundo en América, tras Canadá, en legalizar el matrimonio entre personas del mismo sexo. Este hecho lo recordamos en #40AñosDeDemocracia";"video";2023-05-31 23:17;37;3;7;48;0;1823;1823;0;1787;1787;0;557;0;8;"53.16";"0"
"https://scontent-lhr8-1.xx.fbcdn.net/v/t15.5256-10/350903974_1066965244689675_3902964342042705902_n.jpg?stp=dst-jpg_s130x130&_nc_cat=111&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=sjQZsH7nxPIAX-Wxi6T&_nc_ht=scontent-lhr8-1.xx&edm=AKIiGfEEAAAA&oh=00_AfC5okZJRKUVxiQ6WFCPWPtCH2jARFQW1Rn07-uNgBsjEg&oe=648507BC";"https://facebook.com/105921658046/posts/628623129308370";"#40AñosDeDemocracia busca, a través de informes y entrevistas, recorrer los hechos más emblemáticos de la Argentina durante los últimos gobiernos democráticos. Mirá el programa en https://youtu.be/s2Yrw5_6nI8";"video";2023-05-31 22:41;14;3;4;23;1;1238;1238;0;1238;1238;0;238;0;5;"35.54";"0"
"https://scontent-lhr8-1.xx.fbcdn.net/v/t15.5256-10/350887399_294180232944187_1953268686351086137_n.jpg?stp=dst-jpg_s130x130&_nc_cat=108&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=iZGnFdgcErEAX8-tq7J&_nc_ht=scontent-lhr8-1.xx&edm=AKIiGfEEAAAA&oh=00_AfBWU8t29VuT9-ovc4huchP0Wmp4Q0FLmQOHihrT_hiwSw&oe=6485CD23";"https://facebook.com/105921658046/posts/628617045975645";"En el marco del Día Nacional de la Donación de Órganos, Rodolfo Tailhade reveló que ""soy paciente renal hace muchos años y estoy en diálisis hace poco más de dos"". Además condenó la idea de Javier Milei de implementar la comercialización de órganos. 

Mirá #Desiguales en www.tvpublica.com.ar";"video";2023-05-31 22:26;63;3;25;121;0;5038;5038;0;4848;4848;0;1582;0;19;"43.73";"0"
"https://scontent-lhr8-1.xx.fbcdn.net/v/t15.5256-10/347743610_822030458830982_3854451550032124303_n.jpg?stp=dst-jpg_s130x130&_nc_cat=110&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=3q8B7FYUqNUAX-IcEHV&_nc_ht=scontent-lhr8-1.xx&edm=AKIiGfEEAAAA&oh=00_AfDQceOmWtCLiOalJcoUeaxFhgB9j4ptRdRSbuRwKJThng&oe=64852BF0";"https://facebook.com/105921658046/posts/628612099309473";"El Consejo de la Magistratura avanzó en el jury del juez Bento. En #Desiguales indagamos al respecto con Rodolfo Tailhade, diputado nacional por el Frente de Todos. Sumate al programa en www.tvpublica.com.ar";"video";2023-05-31 22:13;26;2;9;36;0;2603;2603;0;2511;2511;0;658;0;8;"29.07";"0"
"https://scontent-lhr8-1.xx.fbcdn.net/v/t15.5256-10/350789660_1331718710892926_7202599967719047269_n.jpg?stp=dst-jpg_s130x130&_nc_cat=109&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=_V9nET9VZeYAX9fDJ5F&_nc_ht=scontent-lhr8-1.xx&edm=AKIiGfEEAAAA&oh=00_AfA3-IjT5nM6fHltmuMZNHqBg-NwyAySc8Li-BwNigwu2g&oe=64867C60";"https://facebook.com/105921658046/posts/628590562644960";"Javier Mascherano hizo un balance del partido en el que Argentina cayó derrotada por 0-2 ante Nigeria en octavos de final de la Copa Mundial Sub-20. 

Toda la actualidad deportiva la encontras en #ZonaMixta. #SomosMundiales";"video";2023-05-31 21:21;17;0;0;134;0;4797;4797;0;4674;4674;0;786;0;6;"32.31";"0"
"https://scontent-lhr8-1.xx.fbcdn.net/v/t15.5256-10/350765500_578455277743479_8608731948047525617_n.jpg?stp=dst-jpg_s130x130&_nc_cat=106&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=JOXgSAD6REsAX86tUPw&_nc_ht=scontent-lhr8-1.xx&edm=AKIiGfEEAAAA&oh=00_AfDrg1KjtY1ZbXWfgJAUGMJaE1yeBsKr2srg1zB0QOKlIA&oe=648694AA";"https://facebook.com/105921658046/posts/628584855978864";"Fernando Sabag Montiel, imputado por el intento de homicidio contra la Vicepresidenta Cristina Fernandez de Kirchner, envió dos cartas a los jueces Mariano Llorens, Leopoldo Bruglia y Pablo Bertuzzi en las que pide su excarcelación y desvincula del atentado cualquier connotación político partidaria. Además, intentó desvincular del ataque a Brenda Uliarte y Gabriel Carrizo, los otros dos detenidos.

Más noticias en www.tvpublica.com.ar";"video";2023-05-31 21:04;38;27;2;111;0;2607;2607;0;2507;2507;0;1051;0;14;"71";"0"
"https://scontent-lhr8-1.xx.fbcdn.net/v/t15.5256-10/351056921_636198698427415_4574642888695601953_n.jpg?stp=dst-jpg_s130x130&_nc_cat=103&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=_wjPDix6HTAAX8nTgoU&_nc_ht=scontent-lhr8-1.xx&edm=AKIiGfEEAAAA&oh=00_AfAdTyjIcTER_4cEKfpIMuWSzd_CRhCwUqHT5VNx6D32lw&oe=6485014B";"https://facebook.com/105921658046/posts/628575105979839";"El ministro de Economía, Sergio Massa, se reunirá este jueves, con la expresidenta brasileña y titular del Nuevo Banco de Desarrollo, Dilma Rousseff, para analizar los estatutos de la entidad financiera de los BRICS y terminar de definir la posibilidad de que preste ayuda financiera a la Argentina.

Los detalles en www.tvpublica.com.ar";"video";2023-05-31 20:50;55;17;11;130;0;4151;4151;0;4105;4105;0;1722;0;22;"51.89";"0"
"https://scontent-lhr8-1.xx.fbcdn.net/v/t15.5256-10/351100427_1211968449511520_3698503036446099881_n.jpg?stp=dst-jpg_s130x130&_nc_cat=103&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=1YrZgNJBRTMAX8nX3-_&_nc_ht=scontent-lhr8-1.xx&edm=AKIiGfEEAAAA&oh=00_AfAPZYywwPvHx3tz9p5UVQoN94jKpRlXbWh_c-xwRoArhg&oe=6486D2F0";"https://facebook.com/105921658046/posts/628566949313988";"La Cámara del Crimen dejó procesado con prisión preventiva a Marcelo Corazza por los delitos de Asociación Ilícita, Corrupción de Menores y Exhibiciones Obscenas. El imputado se entregó y volverá a prisión.

Más información en tvpublica.com.ar";"video";2023-05-31 20:35;13;0;1;19;0;2396;2396;0;2360;2360;0;726;0;5;"13.98";"0"
"https://scontent-lhr8-1.xx.fbcdn.net/v/t15.5256-10/350357586_212891058254308_3894984562402674793_n.jpg?stp=dst-jpg_s130x130&_nc_cat=110&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=0JpiUS685hwAX-IVDnT&_nc_ht=scontent-lhr8-1.xx&edm=AKIiGfEEAAAA&oh=00_AfB9mhQRT2LUaY4uSH5G4zZBxD-wvv1X8SQuJyn4cuXXKg&oe=6486082F";"https://facebook.com/105921658046/posts/628563592647657";"“Sabíamos que si cometíamos algún error en defensa lo podíamos pagar” El técnico Javier Mascherano hizo  un balance del partido y ponderó la actitud de los pibes. “Los chicos dejaron todo”, aseguró.

#SomosMundiales | www.tvpublica.com.ar";"video";2023-05-31 20:26;61;34;6;250;0;3130;3130;0;3126;3126;0;1527;0;11;"112.28";"0"
