Image;PostLink;Content;Type;Timestamp;Reactions;Comments;Shared;Clicks;LinkClicks;Impressions;Impressions (Organic);Impressions (Paid);Reach;Reach (Organic);Reach (Paid);VideoViews (Organic);VideoViews (Paid);VideoTimeWatched;Engagement;Spent
;"https://facebook.com/105921658046/posts/664464495724233";"Mientras la reforma constitucional de la provincia de Jujuy promueve la explotación de los recursos naturales y criminaliza la protesta, el pueblo sale a las calles. ¿Quiénes ganan y quiénes pierden con la nueva constitución?

Mirá SIC Periodismo en www.tvpublica.com.ar";;2023-07-31 22:58;71;18;9;105;17;10364;10364;0;9924;9924;0;0;0;0;"20.46";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/356300231_299376195836271_7507981662647640897_n.jpg?stp=dst-jpg_s130x130&_nc_cat=109&cb=99be929b-3346023f&ccb=1-7&_nc_sid=1a7029&_nc_ohc=vT_ZpWUdigMAX-Da9lk&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfCY2XRUfK0TWKLc4ERnBYFzIkCiXRE4QPRCoosmfMmbOw&oe=64DF126E";"https://facebook.com/105921658046/posts/664442189059797";"""El modelo de desarrollo inmobiliario de Larreta es Inhumano"" dijo el precandidato a Jefe de Gobierno de CABA por UxP, Leandro Santoro, en #Desiguales.

Mirá el programa completo en www.tvpublica.com.ar";"video";2023-07-31 21:53;278;83;60;169;1;7923;7923;0;7688;7688;0;2945;0;14;"76.74";"0"
"https://scontent-lcy1-2.xx.fbcdn.net/v/t39.30808-6/363382472_664416509062365_8745080317154935223_n.jpg?stp=dst-jpg_p130x130&_nc_cat=105&cb=99be929b-3346023f&ccb=1-7&_nc_sid=7f8c78&_nc_ohc=DmzmweFYA6IAX_nxvGf&_nc_ht=scontent-lcy1-2.xx&edm=AKIiGfEEAAAA&oh=00_AfCQSjSvfvvZ8UZSp89t8wNw_fpe04QmUnbcIllbnyV03A&oe=64DE5774";"https://facebook.com/105921658046/posts/664416535729029";"A todo o nada ante una potencia

🇦🇷 Por el Grupo G del Mundial de Fútbol Femenino Australia/Nueva Zelanda 2023 Argentina se mide ante Suecia, número 3 del ranking FIFA y terceras en Francia 2019

⚽️ El equipo de Portanova, que perdió 1-0 ante Italia en el debut y empató 2-2 frente a Sudáfrica, deberá vencer a las suecas y esperar por el resultado del encuentro simultáneo entre italianas y sudafricanas

🔴 Miralo EN VIVO el miércoles a las 3:30 en tvpublica.com.ar

#somosmundiales #fifawwc2023";"photo";2023-07-31 20:48;252;46;36;457;0;30870;30870;0;30262;30262;0;0;0;0;"26.14";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/356183047_308397064984486_8422257380827071223_n.jpg?stp=dst-jpg_s130x130&_nc_cat=103&cb=99be929b-3346023f&ccb=1-7&_nc_sid=1a7029&_nc_ohc=OQB-9v3RJGgAX__qj0v&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfD7uCZLpuRDPjd0_ZpSkqS8XV51ABsP-fEZM4YvHJXe_w&oe=64DD9DC0";"https://facebook.com/105921658046/posts/664414742395875";"Espiritualidad De Mente con Patricia Sosa ""La gente que tiene fe es más feliz"".

Mirá en vivo #NocheDeMente en https://www.tvpublica.com.ar";"video";2023-07-31 20:45;109;20;4;214;1;11195;11195;0;10935;10935;0;4568;0;9;"31.73";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/364182972_173666405726448_1922653722680546216_n.jpg?stp=dst-jpg_s130x130&_nc_cat=107&cb=99be929b-3346023f&ccb=1-7&_nc_sid=1a7029&_nc_ohc=4JlT0RWGzJsAX9Wsoqs&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfBFDtZS4pcuRpjCBDJQE4Swgly1fB2dyznvFL0y7y2nhw&oe=64DE649F";"https://facebook.com/105921658046/posts/664402222397127";"Ofelia Fernández en TVP Noticias: ""El oficialismo de la Ciudad está accidentado, es una interna con bastante fuego cruzado. Nuestra fuerza política tiene que ser inteligente para aprovechar esa oportunidad y, en el medio de ese barullo, plantar sus ideas""";"video";2023-07-31 20:13;105;43;11;114;0;4640;4640;0;4640;4640;0;1567;0;9;"58.84";"0"
"https://scontent-lcy1-2.xx.fbcdn.net/v/t15.5256-10/364201078_1501768767235452_4953585882601369645_n.jpg?stp=dst-jpg_s130x130&_nc_cat=105&cb=99be929b-3346023f&ccb=1-7&_nc_sid=1a7029&_nc_ohc=jPGRs4NqhT8AX-uuu87&_nc_ht=scontent-lcy1-2.xx&edm=AKIiGfEEAAAA&oh=00_AfDvhrbxTdbcE6mEoRUe4DVqedpvf9YYY_Rx6fdCIvpvtw&oe=64DDA821";"https://facebook.com/105921658046/posts/664397615730921";"Ofelia Fernández en TVP Noticias: ""La vivienda es el gran drama de este tiempo""";"video";2023-07-31 20:03;72;33;1;145;0;6300;6300;0;6116;6116;0;1874;0;4;"41.04";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/356598881_1165885881480425_4558748422724041329_n.jpg?stp=dst-jpg_s130x130&_nc_cat=101&cb=99be929b-3346023f&ccb=1-7&_nc_sid=1a7029&_nc_ohc=Ftvy25m8OKcAX_ej-ds&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfD8JJCRW0iNixnQKbM0F14tDCO5a75HCMtf55AXVUEdUw&oe=64DE0612";"https://facebook.com/105921658046/posts/664388449065171";"Jesús Escobar: ""Vamos a hacer un Gobierno para el pueblo, no para los ricos""

Camino a las PASO 2023. Entrevista exclusiva de Fernando Fraquelli a Jesus Escobar, precandidato a presidente de la Nación por Libres del Sur Territorial Nacional";"video";2023-07-31 19:35;16;19;3;18;0;2734;2734;0;2652;2652;0;382;0;4;"21.12";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/348712792_3573914962852992_4814055876007267664_n.jpg?stp=dst-jpg_s130x130&_nc_cat=107&cb=99be929b-3346023f&ccb=1-7&_nc_sid=1a7029&_nc_ohc=-BZOfaCjx-0AX-yj0zh&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfA5sJBhOgRwgfAhwpLxYvRLQoQO_oMvsBs5gtYzMJUf2g&oe=64DF48EF";"https://facebook.com/105921658046/posts/664380862399263";"Cavani ya es de Boca. El delantero uruguayo fue confirmado como flamante incorporación del Xeneixe. Gran expectativa entre los hinchas ante la incorporación de un jugador de jerarquía internacional.";"video";2023-07-31 19:09;1577;358;39;5923;0;166337;166337;0;160732;160732;0;82985;0;36;"49.13";"0"
"https://scontent-lcy1-2.xx.fbcdn.net/v/t15.5256-10/352432907_1484096508794311_8860946440485137096_n.jpg?stp=dst-jpg_s130x130&_nc_cat=106&cb=99be929b-3346023f&ccb=1-7&_nc_sid=1a7029&_nc_ohc=X3gSQqmpC-EAX8z3W3y&_nc_ht=scontent-lcy1-2.xx&edm=AKIiGfEEAAAA&oh=00_AfDMC5p5o-vgai8EQe7WsuXfDMrgTo0U2zGSRzWizPLj8w&oe=64DEF5BC";"https://facebook.com/105921658046/posts/664376405733042";"Debate por el traslado del monumento a Roca en Bariloche. El análisis de Pacho O'Donnell y Diana Lenton.";"video";2023-07-31 18:55;119;37;48;214;0;7303;7303;0;7303;7303;0;2581;0;15;"57.24";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/356844856_240957832226391_7554969079866859241_n.jpg?stp=dst-jpg_s130x130&_nc_cat=100&cb=99be929b-3346023f&ccb=1-7&_nc_sid=1a7029&_nc_ohc=FOVij9mtBXEAX_LJmEh&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfBmzX53D435mp2PYi9DUg8DisZat-uGSirjlbeL_xr-jA&oe=64DDF1A8";"https://facebook.com/105921658046/posts/664348842402465";"Greta Pena es interventora de INADI y analiza en #Altavoz la discriminación en la juventud que sucede en Argentina, los principales temas que contiene el INADI y como procesar estas situaciones con la sensibilidad de escucha activa.

Mirá en vivo tvpublica.com.ar";"video";2023-07-31 17:36;19;0;4;18;0;2224;2224;0;2132;2132;0;499;0;5;"19.23";"0"
