Id;URL;Image;Title;Date;Video Views (Organic);Video Views (Paid);Reach (Organic);Reach (Paid);Likes (Organic);Saved (Organic);Comments (Organic);Interactions (Organic);Interactions (Paid);Engagement;Post clicks (Paid);Spend
"3048530220417146701_1417037267";"https://www.instagram.com/reel/CpOjhVrAd9N/";"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/333951371_1227982528145642_1522045002312561516_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeEDPurJ5ZC0gfrB-9XYf0e9ES8tTsw0HrkRLy1OzDQeuZFw9J05lajpFxm5GYPlD-Q&_nc_ohc=_08Bn6ZDFIwAX8oWawB&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDIe4lSmhskM8ycCNgGphNwxtVadqsqtIUTzWI-0u1qXw&oe=6403DFEF";"Hay teorías y teorías… Esta es la de @marianoanga y tiene como protagonista a Leo Mattioli 🤔

⚡️Todos los jueves a las 20:00, @taniawed y @marianoanga hacen #HolaPais por Twitch y YouTube ¡No te lo pierdas!";2023-02-28 21:19;2789;;2474;;39;0;3;42;;"16.98";;
"3048292006817204506_1417037267";"https://www.instagram.com/reel/CpNtW3-AIka/";"https://scontent-lcy1-2.cdninstagram.com/v/t51.36329-15/334035681_952333652592442_2824200117287375532_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=lIsNpksd1nkAX_4GnAv&_nc_ht=scontent-lcy1-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfALEs3elrUiM3pDgfzjBFJq8-d-iQ0imeS3P9e1o-MgJQ&oe=64DE3A92";"🍸 Gin Cordillera, una bebida bien cuyana que conquista al mundo

✨ @cordilleragin presenta dos variedades: la clásica London Dry y la Pink. 

💕 Cordillera Pink fue reconocido como el mejor del mundo en la categoría saborizados y es uno de las más elegidas entre quienes priorizan el aroma y el sabor. Eduardo Fuhr, su creador, utiliza para su elaboración el color y las características del vino syrah, el tinto más sanjuanino.

#FestivalPaís #SanJuan #FiestaNacionalDelSol
@manuvidela @agus_bettio";2023-02-28 13:20;6519;;6131;;69;1;1;71;;"11.58";;
"3047616422336438228_1417037267";"https://www.instagram.com/reel/CpLTv05Ap_U/";"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/333280264_525475582949383_192870473063707158_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeEMdo4Qpdbr6qCFAhj-FS9z_WyhMh5bfCf9bKEyHlt8Jwpn8s8pI53dm7jdV7oogDE&_nc_ohc=E_1tG2WGKA0AX_EHkNS&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfAlNz1SsXXEkM2ZTxF0QdZ96fmhNEDMaeQge4riKDMh-A&oe=64034261";"¿Quién llegó? La Nena de Argentina

🎤 @mariabecerra se presentó ante una multitud que llenó el Costanera Complejo Ferial en la cuarta noche de la Fiesta del Sol

🎵 El show de María en San Juan fue el cierre de su Animal Tour. En marzo la quilmeña se presentará en el Lollapalooza de Buenos Aires

#FestivalPaís #FNS2023 #SanJuan #MaríaBecerra #LaNenaDeArgentina";2023-02-27 15:52;4455;;4032;;88;3;1;92;;"22.82";;
"3046806436593066088_1417037267";"https://www.instagram.com/reel/CpIbk-4gOBo/";"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/333534477_128684949889390_855577882120156393_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeFvuny9rvyIuHk1XordolJSIbyJrw1_eqYhvImvDX96puIRoymb5PfL9wvePLTwQqg&_nc_ohc=-HD17vtLgggAX_x8wtl&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCoyalnt70nqtIP4P5o5U1BWmx64ZA-gGPKgugL01ko-Q&oe=64021565";"Con vinchas, remeras y cientos de carteles, las y los fans de @camilo corearon sus temas más emblemáticos en la @fnsoloficial 

#FestivalPaís #FiestaNacionalDelSol";2023-02-26 15:07;8867;;8892;;138;2;5;145;;"16.31";;
"3046386780708240077_1417037267";"https://www.instagram.com/reel/CpG8KL4j3rN/";"https://scontent-lcy1-2.cdninstagram.com/v/t51.36329-15/332828225_927418908306658_7756006131960453262_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=v6jdY-42gmQAX9BfqkX&_nc_ht=scontent-lcy1-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBueg0SPCVKHNteX0PISl7CEm42MolTUxxCphPHLeFN1A&oe=64DCE944";"El cuarteto copó San Juan

🎵 Con un largo recorrido en la música cordobesa, que incluye a la mítica Tru-la-lá, Neno y David son hoy las voces de Dale Q’ Va

🎤 En la noche de su presentación en la Fiesta del Sol, los cantantes abrieron las puertas de su camarín para compartir sus expectativas ante de su debut en la gran celebración sanjuanina

🔴 Mirá el show de @daleqva.oficial en la @fnsoloficial en nuestro canal de YouTube

#FestivalPaís #FNS2023 #DaleQVa";2023-02-25 22:24;7145;;6603;;99;1;4;104;;"15.75";;
"3046334521634160924_1417037267";"https://www.instagram.com/reel/CpGwRt1A4Ec/";"https://scontent-lcy1-1.cdninstagram.com/v/t51.36329-15/334031011_2627296007410155_3954221089656299141_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=gsiuyZf4JjUAX_F1q8y&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCAo51nfuNcKLqObjVRzMJdpT67TsBxn-0oAJqIwFr9VA&oe=64DE2FC7";"Andate a dormir vos

🎵 Veintitantos años de carrera, un paquete de hits que sabemos todos y un público intergeneracional que acompaña siempre hacen de @kapangasok una de las grandes bandas de la escena argentina

🐵 La “orquesta de rock” que tiene al @monokpg como vocalista se presentó en la tercera noche de la Fiesta Nacional del Sol ante una multitud que llenó el Costanera Complejo Ferial de San Juan

🔴 Mirá el show en nuestro canal de Youtube

#FestivalPaís #Kapanga #FNS";2023-02-25 20:33;9465;;8906;;87;1;1;89;;"9.99";;
"3046232874069261359_1417037267";"https://www.instagram.com/reel/CpGZKjKA_wv/";"https://scontent-lcy1-2.cdninstagram.com/v/t51.36329-15/333615457_581017530603129_6355065562395947427_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=CyWqjxiMH-MAX9QMiQF&_nc_ht=scontent-lcy1-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfClToCJQF2RskzEvEuQWTM3rfQRwV-vthMHaXGoUxU19w&oe=64DD98E8";"La guerra en Ucrania provoca cambios en la economía global que afectan de maneras distintas tanto a los bandos en conflicto, como al resto de las naciones. Lo que está en juego en el conflicto armado también es una disputa económica por la hegemonía mundial, dice la economista Marisa Duarte. Los desafíos para América Latina y la Argentina.

🔴 Mirá la entrevista completa en nuestro canal de YouTube 

#TVPNoticias";2023-02-25 17:08;9676;;9442;;85;3;0;88;;"9.32";;
"3046121279896709470_1417037267";"https://www.instagram.com/reel/CpF_yo_AGle/";"https://scontent-lcy1-1.cdninstagram.com/v/t51.36329-15/333263417_1269553527279456_7221704403578968497_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=3HPQGoac_osAX-1ahSd&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDGfgBRteGLNN_TqXWjwHaGauQJyhPJ4KK4dMx2YP1daw&oe=64DDD1D9";"Mientras que en los cuatro escenarios de la Fiesta del Sol suenan los artistas número uno de la escena actual, en el corazón del predio se encuentra el centro gastronómico con ofertas variadas para que los concurrentes puedan disfrutar de los platos típicos de la región.

@majonarvaezq y @facuginestar de @panzallenasj preparan punta de espalda a la leña ¡Conocé todos sus secretos!

#FestivalPaís #fns @fnsoloficial";2023-02-25 13:36;10916;;10310;;181;3;1;185;;"17.94";;
"3045522105325219844_1417037267";"https://www.instagram.com/reel/CpD3jgLgnAE/";"https://scontent-lcy1-2.cdninstagram.com/v/t51.36329-15/332454963_741091154130177_4003070345712684330_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=mAwenITdLuMAX8b7vfG&_nc_ht=scontent-lcy1-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfAeCjY1pW-BmlAxgG-5LUZGh2_4crBH96WOcOYWxaKNFg&oe=64DC8B61";"✨ Con más de 40 años sobre los escenarios, @miguelmateosok fue una de las figuras de la @fnsoloficial En exclusiva conversamos con el músico y le preguntamos  acerca de su trayectoria y canciones favoritas ¡Mirá!

#FestivalPaís";2023-02-24 17:39;24218;;23947;;1137;17;40;1194;;"49.86";;
"3045504886709023042_1417037267";"https://www.instagram.com/reel/CpDzo8GAfFC/";"https://scontent-lcy1-1.cdninstagram.com/v/t51.36329-15/332960244_175451725223438_8329873434502043763_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=G2y8Bp3gUQQAX_JHGNy&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDYRbsjjasWWCL_dSUo2_Eqxe5ej286wdBvyBVGpogslA&oe=64DD84E3";"Aunque la contienda entre Kiev y Moscú no exceda el suelo ucraniano, en ella participan de manera directa o indirecta muchas naciones.

Gabriel Merino brinda claves sobre el enfrentamiento entre Rusia y la OTAN y analiza cómo los coletazos del conflicto armado llegan a América Latina y la Argentina.  La lucha por la hegemonía mundial, en juego.

🔴 Mirá la entrevista completa en nuestro canal de YouTube 

#TVPNoticias";2023-02-24 17:03;9696;;9606;;114;9;5;128;;"13.33";;
