Id;URL;Text;Timestamp;Impressions (Organic);Impressions (Paid);Favorites (Organic);Favorites (Paid);Retweets (Organic);Retweets (Paid);Replies (Organic);Replies (Paid);Quotes;Link Clicks (Organic);Link Clicks (Paid);Profile Clicks (Organic);Profile Clicks (Paid);Engagement;Video views (Organic);Video views (Paid)
"1630767064527806464";"https://twitter.com/a/status/1630767064527806464";"¡Llegó el dúo Baglietto-Vitale! El sonido del piano se combina con una voz inigualable para que suene ""Naranjo en flor"" en la Cumbre Mundial del Tango.

Disfrutá lo mejor de #FestivalPaís en https://t.co/fnEKkuadQ9 https://t.co/hhMUu9cYLg";2023-02-28 23:09;"2688";"0";"22";"0";"3";"0";"2";"0";;;;"3";"0";"11.16";"1199";"0"
"1630764189441564673";"https://twitter.com/a/status/1630764189441564673";"¡Baila Zárate, baila ""Junta Brava""! Al ritmo del bandoneón, la compañía de baile interpreta ""Canaro en París"".

Mirá #FestivalPaís en https://t.co/fnEKkuadQ9 https://t.co/RIniUUy3OS";2023-02-28 22:57;"2435";"0";"9";"0";"4";"0";;;;"1";"0";"4";"0";"7.39";"1014";"0"
"1630757515871895552";"https://twitter.com/a/status/1630757515871895552";"El bandoneón, el violín y el violonchelo se reúnen para que suene un clásico tanguero en esta noche festivalera. Ariel Pirotti Cuarteto interpreta ""Libertango"".

Reviví la Cumbre Mundial del Tango de la mano de #FestivalPaís en https://t.co/fnEKkuadQ9 https://t.co/QaMXZ212UY";2023-02-28 22:31;"2634";"0";"7";"0";"2";"0";"1";"0";;;;"2";"0";"4.56";"922";"0"
"1630735511361839104";"https://twitter.com/a/status/1630735511361839104";"La cárcel nos atraviesa incluso a quienes no estamos dentro de ella. Necesitamos a quienes transitan instancias de formación universitaria en contexto de encierro para recomponer el tejido social. La universidad, al salir de sí misma, se nutre de los saberes populares.";2023-02-28 21:03;"2308";"0";"3";"0";"1";"0";"2";"0";;;;"1";"0";"3.03";;
"1630735512913813504";"https://twitter.com/a/status/1630735512913813504";"¡Cerramos Hilo acá! Gracias por acompañarnos y reflexionar con nosotrxs. Nos volvemos a encontrar el próximo martes, a las 20:00, en el Twitch de @TEC_ar, @TV_Publica y en nuestro canal de YouTube. Mirá el programa completo acá.  https://t.co/4eLFtiCvdi";2023-02-28 21:03;"2093";"0";"4";"0";;;"1";"0";;"1";"0";"4";"0";"4.78";;
"1630735506760769539";"https://twitter.com/a/status/1630735506760769539";"La función de la prisión parece evidente: reformar al transgresor, alejarlo de la sociedad y servir como ejemplo para el resto. Pero la función declarada... ¿Es la misma que la real? Veamos a qué grupos sociales encierran y cuáles no, y qué delitos se persiguen y cuáles no.";2023-02-28 21:03;"462";"0";"1";"0";;;"1";"0";;;;;;"4.33";;
"1630735508350402565";"https://twitter.com/a/status/1630735508350402565";"Vivir rodeado de desconocidos es un fenómeno exclusivo de la modernidad... ese miedo es un operador político que puede ser muy dañino.";2023-02-28 21:03;"446";"0";"2";"0";;;"1";"0";;;;;;"6.73";;
"1630735509868670976";"https://twitter.com/a/status/1630735509868670976";"@CUSAM_unsam funciona dentro del Complejo Penitenciario de San Martín. Además de crear una mejor relación entre la población carcelaria, la educación y los trabajadores penitenciarios, protege el sentido de comunidad y autogestión que se genera en los pabellones.";2023-02-28 21:03;"575";"0";"2";"0";;;"1";"0";;;;;;"5.22";;
"1630735505041108992";"https://twitter.com/a/status/1630735505041108992";"Arrancamos con un tema bastante polémico en #AbroHilo: Cárceles. Nos surgen millones de dudas: ¿Por qué la mayoría de los presos son hombres? ¿Cuál es la edad promedio de una persona presa? ¿Hace cuánto existen las cárceles?  ¿Para qué sirven? ¿Cumplen su función?";2023-02-28 21:03;"3735";"0";"12";"0";;;"5";"0";;;;"10";"0";"7.23";;
"1630731308216229888";"https://twitter.com/a/status/1630731308216229888";"Flor Paz se suma a esta previa festivalera interpretando ""Quiero nombrar a mi pago"", una canción que la conecta con sus raíces.

Sumate a #FestivalPaís en https://t.co/fnEKkuadQ9 https://t.co/nwZymCv9ZA";2023-02-28 20:46;"1778";"0";"7";"0";;;;;;"1";"0";"1";"0";"5.06";"669";"0"
"1630717796857307137";"https://twitter.com/a/status/1630717796857307137";"""No sesionar fue una extorsión de Juntos por el Cambio"" aseguró la diputada nacional Carolina Moises luego de que el bloque de la oposición no de el quórum en las sesiones del mes de diciembre.

Mirá #Desiguales junto a @lulitru y @carusopablo en https://t.co/fnEKkuadQ9 https://t.co/BknUe4e8uc";2023-02-28 19:53;"1726";"0";"12";"0";"3";"0";"3";"0";"1";"1";"0";"2";"0";"12.75";"639";"0"
