Image;PostLink;Content;Type;Timestamp;Reactions;Comments;Shared;Clicks;LinkClicks;Impressions;Impressions (Organic);Impressions (Paid);Reach;Reach (Organic);Reach (Paid);VideoViews (Organic);VideoViews (Paid);VideoTimeWatched;Engagement;Spent
"https://scontent-lcy1-2.xx.fbcdn.net/v/t15.5256-10/320720045_1555999088246274_1462930788684552247_n.jpg?stp=dst-jpg_s130x130&_nc_cat=105&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeGctb_-00i1Oyh8m8rigKdCQJda_OomDppAl1r86iYOmqFLr7mEskPtCPcK6K5yeoU&_nc_ohc=bfGX6YWX3_MAX8K56Uu&_nc_ht=scontent-lcy1-2.xx&edm=AKIiGfEEAAAA&oh=00_AfAD6EDHMxH4ADv5Fbue94idRXXEo_thkarKHIGjyb5ZfQ&oe=642FC3F2";"https://facebook.com/105921658046/posts/10162474474658047";"Momento único en la segunda noche de Cuarteto Cosquín con ""Intento"" interpretado por Ulises Bueno  en #Córdoba.

#cosquin #Cuarteto #UlisesBueno #CuartetoCosquin

Mirá #FestivalPaís en https://www.tvpublica.com.ar";"video";2023-01-31 23:01;6333;91;1033;5853;40;284984;284984;0;279344;279344;0;101485;0;9;"47.65";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/321411455_1907216262962439_355820789376528883_n.jpg?stp=dst-jpg_s130x130&_nc_cat=108&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeGVJPsAWCVZOgfiyblVQoDqF31iqCqfmuIXfWKoKp-a4tQEFPdW1OtHn6_3x0eixXM&_nc_ohc=Tf3m0bXS7SYAX-HSYRT&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfAI54ThIrj4xxg5oqgHWESOgLg0g5xeIiiVUKFZXZLysw&oe=642F92E9";"https://facebook.com/105921658046/posts/10162474434948047";"Todo Cosquín cantando ""Ahora mírame y dime lo que ves"" con Ulises Bueno en #Córdoba. 

Mirá #FestivalPaís en https://tvpublica.com.ar";"video";2023-01-31 22:36;13902;232;2470;18054;90;692596;692596;0;656218;656218;0;243706;0;13;"52.81";"0"
"https://scontent-lcy1-2.xx.fbcdn.net/v/t15.5256-10/328750940_1418161338718994_5316055294689986556_n.jpg?stp=dst-jpg_s130x130&_nc_cat=105&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeHi6kaVVzT0SYDxIyv5uAYGXF6B8ie6co9cXoHyJ7pyjwoxdBFDz8cNLVXzm9CwHv8&_nc_ohc=9ryBjjsq7MQAX-WvVy2&_nc_oc=AQk5KiqHhP19hQnxCcf9gGV_SXqsmi5N4Rs_E5YfSCUX_aoOjXoEOl3cyJg9dxxXpN0&_nc_ht=scontent-lcy1-2.xx&edm=AKIiGfEEAAAA&oh=00_AfAega4jLwawEn1b3Eh_7Tpq2_ssR0Km1vY9uc0nl_P99Q&oe=642ECF3F";"https://facebook.com/105921658046/posts/10162474412933047";"¡Todo Cosquín bailando cuarteto! Se subió Ulises Bueno e interpreto ""Las Alas de mi Amante"" en #Córdoba en la segunda noche de Cuarteto Cosquín 2023.

#Cuarteto #cosquin #UlisesBueno #FestivalPaís 

Mirá #FestivalPaís en https://www.tvpublica.com.ar";"video";2023-01-31 22:23;4703;85;864;7593;51;251103;251103;0;240098;240098;0;82971;0;11;"55.16";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/328070895_190645100246741_7983488413620800592_n.jpg?stp=dst-jpg_s130x130&_nc_cat=104&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeFqWL4opkWAWVFanQ7xwI1atw4Mc_8hYJi3Dgxz_yFgmE9wCTJpWAfANEGNBJbCqXM&_nc_ohc=3HvpHbyw08IAX8Wm1i1&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfDGGBSh1u9WY2zxDfWxh7cRpTLE0Z9HzlSfx5oIO7zC7A&oe=64301930";"https://facebook.com/105921658046/posts/10162474360128047";"¡La banda del momento llegó a Cosquín Cuarteto!

La K'onga la rompió en la primera noche del festival dedicado al tunga tunga.

#FestivalPaís";"video";2023-01-31 21:46;15373;417;701;10066;1;414206;414206;0;401343;401343;0;122050;0;6;"66.17";"0"
"https://scontent-lcy1-2.xx.fbcdn.net/v/t15.5256-10/327408178_872856327355683_602591776949683303_n.jpg?stp=dst-jpg_s130x130&_nc_cat=106&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeFr--VDuzq1k5d65Gs0NTzuT322FwTnEL1PfbYXBOcQvQml44yp3VYgVi8g4Kbj36Y&_nc_ohc=aTBhR-sZH-EAX_DnKgU&_nc_ht=scontent-lcy1-2.xx&edm=AKIiGfEEAAAA&oh=00_AfBpcUQfsbIx_M4gRx6bMHF8gX_xyCa6GsWVIBvewxuMQg&oe=642F1BDE";"https://facebook.com/105921658046/posts/10162474274033047";"Tras el encuentro con los integrantes de la Mesa de Enlace, Sergio Massa anunció un paquete de medidas donde se destaca el desarrollo de un sistema de asistencia directa para productores afectados por la sequía.

#TVPNoticias | www.tvpublica.com.ar";"video";2023-01-31 20:47;8;2;1;56;0;7354;7354;0;7071;7071;0;817;0;3;"9.48";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/328584093_711459767305812_2950733682527689011_n.jpg?stp=dst-jpg_s130x130&_nc_cat=103&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeHsooZ5kJzjSgqRs0CYNoVMie1OwHHFFLeJ7U7AccUUt_0Uco3sN2yCixBpDWE3x6A&_nc_ohc=bXPznStGW_IAX9RRl2N&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfABHxf2MsXxuGe5HqzyIuXhzb-6ow8I8BUHD65ObtpubQ&oe=642E64F5";"https://facebook.com/105921658046/posts/10162474187673047";"Myriam Bregman, diputada nacional, abre el debate en #Desiguales sobre las políticas del Gobierno y la interna en el Frente de Todos.

Sumate en www.tvpublica.com.ar";"video";2023-01-31 19:58;25;10;5;85;0;7369;7369;0;7228;7228;0;950;0;3;"17.29";"0"
"https://external-lcy1-1.xx.fbcdn.net/emg1/v/t13/12242003656569903873?url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FPdwMrevbBPM%2Fmaxresdefault.jpg%3Fsqp%3D-oaymwEmCIAKENAF8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGBEgWyhyMA8%3D%26rs%3DAOn4CLACwC_RhaQef2GhEFv_-970_nDbXQ&fb_obo=1&utld=ytimg.com&stp=c0.5000x0.5000f_dst-emg0_p130x130_q75&_nc_eui2=AeGJ6_p2LBV5ezOrnY7HH8xDcWijjlHIH-xxaKOOUcgf7Nun0-QEX6uo4YFPaVxa6ss&ccb=13-1&oh=06_AbFDXyhXyp7VHszOxOjnFFxFmgLqVrMe6PmL_smo55DsTA&oe=642BDA10&_nc_sid=6ac203";"https://facebook.com/105921658046/posts/10162474003413047";"¡Somos 46.044.703 en Argentina 🇦🇷! Marco Lavagna, Director del INDEC, presentó los resultados provisionales del #Censo2022.

#TVPNoticias | Más información en https://youtu.be/PdwMrevbBPM";"video";2023-01-31 18:04;22;4;1;76;48;8849;8849;0;8849;8849;0;0;0;0;"11.64";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/328129589_577061187607300_1737999538112239711_n.jpg?stp=dst-jpg_s130x130&_nc_cat=111&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeE3JkQSLyXdvH6dNvjrMQUjhTP7DUSc-gOFM_sNRJz6A3SFpFauazLuyJ9Ry22WAoQ&_nc_ohc=T4_3uztQ2MoAX-81Ztx&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfBfroDkqkHGGEixkLJx9Aln5EKhXsUHnqW86cRNKTY8Fw&oe=642E50F7";"https://facebook.com/105921658046/posts/10162473983058047";"Nicolás Carrizo, detenido y procesado como participe secundario del intento de asesinato a la Vicepresidenta, sostuvo que los mensajes en los chats encontrados en su celular eran ""bromas"". 

#TVPNoticias | www.tvpublica.com.ar";"video";2023-01-31 17:53;20;2;3;66;0;5953;5953;0;5664;5664;0;686;0;4;"16.07";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/328570285_954928112143993_6674254804822156912_n.jpg?stp=dst-jpg_s130x130&_nc_cat=104&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeHhQbsI6YuaX0kkICwAW4_cnLxSlAm4Nv2cvFKUCbg2_TROQam4CcyJCafg_rupWmI&_nc_ohc=7M026jCdOSAAX_rwjbl&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfBAk6uXHBdENXCtroEnm23jG2JGNCJQ7ssOKAUcrhTTEg&oe=642E418C";"https://facebook.com/105921658046/posts/10162473961363047";"Sergio Massa convocó a una nueva reunión de trabajo a las entidades agropecuarias que conforman la Mesa de Enlace. Las medidas serán anunciadas el 1 de febrero.

#TVPNoticias | www.tvpublica.com.ar";"video";2023-01-31 17:41;27;3;5;43;0;6969;6969;0;6829;6829;0;656;0;3;"11.42";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/327504645_1864226437251068_5851501582297572503_n.jpg?stp=dst-jpg_s130x130&_nc_cat=104&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeGzheO85e4JQR2ZTu41x5WElJOO0NDIQ1CUk47Q0MhDUEPE4Whmv-1FDmdeRZ-OL60&_nc_ohc=SngG4SN7bvwAX-uzSYN&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfA_JqW0oPX1JnxtWGnTDhvcKqOO9nh_pjTudiDwJf81Nw&oe=642E6E31";"https://facebook.com/105921658046/posts/10162473696348047";"#EstamosConectados con el Centro de Rehabilitación de Aquarium en Mar del Plata. Allí se trabaja en la protección, rescate y reintroducción al habitat de la fauna marina. Mirá www.tvpublica.com.ar";"video";2023-01-31 15:01;57;3;10;124;0;13933;13933;0;13918;13918;0;5240;0;7;"13.94";"0"
