Id;Type;Image;URL;Content;Timestamp;Impressions (Organic);Impressions (Paid);Reach (Organic);Reach (Paid);Likes;Saved;Comments;Clicks;Interactions;Engagement;Video Views (Organic);Video Views (Paid);Post clicks (Paid);Post Interactions (Paid);Spend
"3045491941413159462_1417037267";"FEED_CAROUSEL_ALBUM";"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/332587210_1238068467114392_5900724296082788627_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=iqFcVk8a8VEAX80IUw4&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDKnm-tHYgeOcbSwrFjnTCt8hX7XFWniqbpnM44cGtDLA&oe=64DD9D65";"https://www.instagram.com/p/CpDwsj2PwIm/";"Hasta el otro carnaval

📸 @camirezk y @m_agustina_rios para @carnavaldelostekis 

#FestivalPaís #CarnavalDeLosTekis";2023-02-24 16:35;13258;;10650;;416;9;2;"0";427;"40.09";;;;;
"3043265776874777370_1417037267";"FEED_CAROUSEL_ALBUM";"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/332261207_1744147382652893_5093260918367851820_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=-nM_u-jpsEUAX9-qT3e&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCk4VNyFgz7O-ZcG8pORJwKcxYf5vhPw1dee9uIlGg34Q&oe=64DDE0C5";"https://www.instagram.com/p/Co72hmjuWsa/";"¡Comienza la @fnsoloficial, uno de los festivales más importantes del país! Esta es su grilla de artistas:

🗓 Martes 21 de febrero
La Cuyanía
La Sole
Sergio Galleguillo
Babasónicos

🗓 Miércoles 22 de febrero
Miguel Mateos
Dale Q'va

🗓 Jueves 23 de febrero
ángeles Azules
Camilo
Bersuit Vergarabat
Agarrate Catalina
Kapanga

🗓 Viernes 24 de febrero
María Becerra
Damián Córdoba
Valentina Márquez

🗓 Sábado 25 de febrero
Espectáculo Final
Loco Amato

🔴 Miralo en tu tele o por streaming en tvpublica.com.ar

#festivalpais";2023-02-21 14:52;27526;;21647;;502;31;29;"0";562;"25.96";;;;;
"3040482483405416206_1417037267";"FEED_CAROUSEL_ALBUM";"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/331136473_155454904011235_363751536959069339_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=ku9xRJtdyDUAX-KExY4&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDLjdE-nbyyk0w5CVcNeNLTV8HnpnsZH4mHKpOFvge2jw&oe=64DCFB8C";"https://www.instagram.com/p/Cox9rWhLWcO/";"¡Empieza el Carnaval de Los Tekis 2023! Ciudad Cultural abre sus puertas a los carnavaleros y carnavaleras de todo el país. 

🗓️ Viernes 17
La Delio Valdez
Dillom
Bersuit Vergarabat

🗓️ Sábado 18
Kapanga
Q' Lokura
Karina

🗓️ Domingo 19
La K'onga
Miguel Mateos

🗓️Lunes 20
Luciano Pereyra
Los Auténticos Decadentes";2023-02-17 18:42;20063;;15253;;391;18;2;"0";411;"26.95";;;;;
"3039772305798505492_1417037267";"FEED_CAROUSEL_ALBUM";"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/331105437_3049637011848647_8552237985672064543_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=laN-0apEZiwAX_B92VS&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBsMmdc8cuUM9IBkapacwaQOpyQTb_fs_Lyb5HakMU6YQ&oe=64DDFF15";"https://www.instagram.com/p/CovcM6FMKQU/";"¡Arrancan los amistosos para la Selección Argentina de fútbol femenino!

🗓️ Viernes 17 de Febrero
03:30 Argentina vs Chile 

🗓️ Lunes 20 de Febrero
03:00 Argentina vs Nueva Zelanda

🗓️ Jueves 23 de Febrero
03:00 Nueva Zelanda vs Argentina

✨Mirá los partidos en vivo en tvpublica.com.ar y por nuestras plataformas digitales.

#FútbolFemeninoEnTVP #FútbolFemenino";2023-02-16 19:11;28173;;22529;;1181;37;8;"0";1226;"54.42";;;;;
"3035366535511038120_1417037267";"FEED_CAROUSEL_ALBUM";"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/329976685_755411345774941_713452131033098796_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=X85rE6OQEtUAX90YQsX&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDK_5cbw-LWHtfiaRc0uGJqip8RwAeMRDp7h9uz_TRj7A&oe=64DDD617";"https://www.instagram.com/p/CofycgwPlio/";"Desde el viernes 10 de febrero vas a poder disfrutar del 48° Festival Nacional de Música Popular Argentina Baradero 2023 en nuestras plataformas. 

🗓 Viernes 10
Abel Pintos
Leandro Rodríguez
Ivana Fortunatti

🗓 Sábado 11
Soledad
Lito Vitale junto a Jairo, Patricia Sosa, Hilda Lizarazu, Juan Carlos Baglietto, entre otros

🗓 Domingo 12
Luciano Pereyra
La K’onga
Peteco Carabajal
Facundo Toro";2023-02-10 17:18;21610;;16645;;278;17;10;"0";305;"18.32";;;;;
"3035297720110373350_1417037267";"FEED_CAROUSEL_ALBUM";"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/330674344_518055080473564_4654701698859923755_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=NkByAJbz8M4AX-5rfjv&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDdST3FbwgvUUyf_O_EU_yPKbwWBfmSqM6pkqr_r-ygCA&oe=64DDD8A6";"https://www.instagram.com/p/CofizHau1nm/";"Agenda Chamamé Federal 2023

📆 Viernes 10/02

Monchito Merlo y su Conjunto
Santiago Bocha Sheridan

📆 Sábado 11/02

Chango Spasiuk
Antonio Tarragó Ros

📆 Dominhgo 12/02

Teresa Parodi
Los de Imaguaré
‌

🔴 Mirá Chamamé Federal 2023 en vivo en tvpublica.com.ar

#FestivalPaís #Chamamé";2023-02-10 15:01;8501;;6715;;69;2;1;"0";72;"10.72";;;;;
"3033892265001982627_1417037267";"FEED_CAROUSEL_ALBUM";"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/329600873_543389627576598_7234458947628784149_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=PJzf_QGYMfMAX_U83xn&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfAJ8_vT3JnecY9S99cHBYW__G2xEcWnjt5uV9cIBeOCqA&oe=64DDB958";"https://www.instagram.com/p/CoajPDWP5qj/";"🗓 Jueves 09 de Febrero
Soledad
Axel

🗓 Viernes 10 de Febrero
Luciano Pereyra
Sabroso
Los Legales

🗓 Sábado 11 de Febrero
La Bruja Salguero
Peteco Carabajal
Los Nombradores del Alba 

🗓 Domingo 12 de Febrero
Karina
Dale Q' Va

🗓 Lunes 13 de Febrero
Sergio Galleguillo
La Delio Valdez
Los Palmeras 

🔴 Mirá La Chaya en tu tele o por streaming en tvpublica.com.ar

#FestivalPaís #Chaya";2023-02-08 16:29;1946;;1782;;125;26;45;"0";196;"109.99";;;;;
"3028969523197977036_1417037267";"FEED_CAROUSEL_ALBUM";"https://scontent-lcy1-2.cdninstagram.com/v/t51.29350-15/328274639_1806104636427910_3915971948902186681_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=LbuQtuo8yyIAX_ICdp1&_nc_ht=scontent-lcy1-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDGAUhhgE1VuSU2G3dD7EAvo0A_7ttZTj6xPxfZz7JKSQ&oe=64DC8DD4";"https://www.instagram.com/p/CoJD7uxsyHM/";"Desde el jueves 2 de febrero hasta el domingo 5 de febrero vas a poder disfrutar el  @festivaldelasalamanca en nuestras plataformas.

🗓 Jueves 2
Luciano Pereyra
Sergio Galleguillo
Peteco Carabajal
Bruno Arias
Roxana Carabajal
La T y la M

🗓 Viernes 3
Rusherking
Karina
Los Tekis
Los Carabajal
Sofía Asís

🗓 Sábado 4
Los Manseros Santiagueños
Raly Barrionuevo
Dalila
Nahuel Pennisi
Horacio Banegas

🗓 Domingo 5
Los Palmera
Dúo Coplacanu
Orellana Lucca
La Delio Valdéz
Martín Paz
Victoria Ojeda";2023-02-01 21:28;27134;;22137;;500;36;8;"0";544;"24.57";;;;;
