Type;Post URL;Content;Timestamp;Media URL;Impressions (Organic);Impressions (Paid);Reach (Organic);Reach (Paid);Replies;Taps Back;Taps Forward;Exits
"VIDEO";"https://instagram.com/stories/tv_publica/3046234205056099606";"";2023-02-25 17:10;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/0549DBD0F46AEF786A2148DD9FD75C96_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=104&vs=878978166740834_554320562&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzA1NDlEQkQwRjQ2QUVGNzg2QTIxNDhERDlGRDc1Qzk2X3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHSU02NEJNSXpwSTNjUGNFQUMzWW1TekJQcXQ0YnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbO99y%2BitL4PxUCKAJDMywXQC4AAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfDBTdM6UQU2OXuypn7EvgVshccaYLYcACnIZHbDE8vWig&oe=63FC887D&_nc_sid=ea0b6e&_nc_rid=21e9c41fb2";1955;;1915;;0;55;1509;197
;;;2023-02-25 00:24;;1378;;1341;;1;71;1128;142
"IMAGE";"https://instagram.com/stories/tv_publica/3045628599277967043";"";2023-02-24 21:07;"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/332807822_192002890107433_6645392034143794075_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeH8M0kGMzTEN6RZ5i0ngzmlDSU_GAwaNiMNJT8YDBo2IwV6zzAixeRjMMpHKFZmgTU&_nc_ohc=ix5xNTZ-4tIAX-MZRks&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfAc3CluKKoDUKKUNidsZExem5mTCqlR2tg3xPbCBlt9OQ&oe=63FF42D5";1309;;1275;;7;69;1198;152
"VIDEO";"https://instagram.com/stories/tv_publica/3045624848199042841";"@_hulamoro_ @cristianealvarez @seravella @mutt.aggos @goomezpau @majotorrentl @ludmila_uviedo";2023-02-24 20:59;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/CE4639A571197D3D486C39FD798385AE_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=106&vs=594550242193987_2209502822&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0NFNDYzOUE1NzExOTdEM0Q0ODZDMzlGRDc5ODM4NUFFX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHRHBueGhPVGVxUHE4SzBGQUtobFRDWWh6aDQ4YnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaE7eXsi5LJQBUCKAJDMywXQDju2RaHKwIYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfDwuIPlj9b2zOe2T0Zz42HNOO7rVZkNxcmo1hBMEh4VIQ&oe=63FB49CD&_nc_sid=ea0b6e&_nc_rid=2efeb2ffcb";1338;;1305;;1;90;1272;114
"VIDEO";"https://instagram.com/stories/tv_publica/3045620317654577080";"";2023-02-24 20:50;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/BC409F2B7A8127C8621F4114868F0289_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=108&vs=559567956233263_4065308653&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0JDNDA5RjJCN0E4MTI3Qzg2MjFGNDExNDg2OEYwMjg5X3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHR0UxMVJPR2htQzlfNzBBQUxCVUt3bFlvb0ZxYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbgi5j93ZbqPxUCKAJDMywXQCGqfvnbItEYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfBn6Rkspz2wZYmFAS6MUtQu-6gH-X4y1xYJrX9AheO4lQ&oe=63FB0B1A&_nc_sid=ea0b6e&_nc_rid=9ab43b3f07";1420;;1392;;0;36;1330;71
"VIDEO";"https://instagram.com/stories/tv_publica/3045525495790802109";"@gabrielmerino17";2023-02-24 17:42;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/2145C255B220F1772790CEF0B59D57A9_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=109&vs=149219574317628_3721317523&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzIxNDVDMjU1QjIyMEYxNzcyNzkwQ0VGMEI1OUQ1N0E5X3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHSW1rMkJONExXMElDaElDQUZjbzlmTDRfclI4YnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACa8xbGE6sLuPxUCKAJDMywXQC4AAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfDpbX7F_6DVO5j0fdxjU-BswTNKwagLELGm_XU5Z8xk4A&oe=63FB59D6&_nc_sid=ea0b6e&_nc_rid=0e73783184";1202;;1182;;0;31;1151;82
"VIDEO";"https://instagram.com/stories/tv_publica/3045495237712559886";"@autenticosdecadentes @gustavocuchoparisi @trapocoletti @manyinlope @waltersader @juanjopestoni @jose_puccio_bass_tekis @lostekisoficial @carnavaldelostekis";2023-02-24 16:42;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/29461504AA58B7163D3B599D585C11A4_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=103&vs=1377865376322788_738609396&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzI5NDYxNTA0QUE1OEI3MTYzRDNCNTk5RDU4NUMxMUE0X3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHRGZ4M1JQWHl2bTBoUTRHQVBVR3Flc2dsTmtCYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbGnuiZvKjSPxUCKAJDMywXQCALQ5WBBiUYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfC5Hwe7mikEmDCo2LUynZxGuZENSjP-uvSMcfK24__QNQ&oe=63FB0A42&_nc_sid=ea0b6e&_nc_rid=ee56cc308c";1137;;1107;;0;23;1150;60
"VIDEO";"https://instagram.com/stories/tv_publica/3045485597708947435";"@carnavaldelostekis @lostekisoficial @jose_puccio_bass_tekis @juanjopestoni @waltersader @manyinlope @trapocoletti @autenticosdecadentes @gustavocuchoparisi @jorge.perroviejoserrano";2023-02-24 16:21;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/9E4701A2394BC6E69CDDE7C19B36AE93_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=107&vs=157641486730088_4211519671&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzlFNDcwMUEyMzk0QkM2RTY5Q0RERTdDMTlCMzZBRTkzX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHT0FuMnhNajZlTGpraXNEQUwzeGdfbEtYQ2w0YnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbassP2vsXvPxUCKAJDMywXQC4AAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfCa9HWfTZs42z3Drx5jmVkw-0JLCtawadZlokUnYDDxyw&oe=63FAE858&_nc_sid=ea0b6e&_nc_rid=ba7e5985c1";1158;;1129;;0;25;1170;44
"VIDEO";"https://instagram.com/stories/tv_publica/3045458806827107917";"@lostekisoficial @carnavaldelostekis";2023-02-24 15:29;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/4A4B28438503B90DB3455BFE65D71F90_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=107&vs=889301385670297_1699334397&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzRBNEIyODQzODUwM0I5MERCMzQ1NUJGRTY1RDcxRjkwX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHUHVpemhQZjVjZHFPc3dCQUtDVUQzeklWT2xaYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACb%2BupDch6SGQBUCKAJDMywXQC4AAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfCVCN9YlvCPYjYlDWVDf289TYO8M0Z8t60rzIQo7GxqiA&oe=63FAE0FB&_nc_sid=ea0b6e&_nc_rid=129fa0d7a0";1174;;1134;;1;42;1160;50
"VIDEO";"https://instagram.com/stories/tv_publica/3045417621219605630";"@elcoppa @lostekisoficial @carnavaldelostekis";2023-02-24 14:07;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/6B4D3A93EF10DC3C910517B9129F239E_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=107&vs=518066617074270_643352947&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzZCNEQzQTkzRUYxMERDM0M5MTA1MTdCOTEyOUYyMzlFX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHS1ZpMkJOdVBJdnowNTRDQUJFX3hJZGdHZnB1YnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaC09HxmN2WQRUCKAJDMywXQC4AAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfCx11EtszORRkToGQnxZeAsi5yfI9mr0QEIEGQQtKm9Yw&oe=63FB35BE&_nc_sid=ea0b6e&_nc_rid=cb77c4bca7";1165;;1129;;1;26;1177;56
"VIDEO";"https://instagram.com/stories/tv_publica/3045380772899859168";"@ine.viana @sjturistico @noelismc @bodegamerceddelestero @florucas";2023-02-24 12:54;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/674D163C3789803046131C6993B69498_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=110&vs=1240764396792231_413285286&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzY3NEQxNjNDMzc4OTgwMzA0NjEzMUM2OTkzQjY5NDk4X3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHQWliMFJPSTdjMEI2bmtBQU5nRDZESnlTUWxKYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACa46ayEypr4PxUCKAJDMywXQC4AAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfAyfWxIeXOlcmnqS5YWOn-3Fx7fAd1eVyCrf48hqFcaUA&oe=63FAF292&_nc_sid=ea0b6e&_nc_rid=2d5d2126bd";1205;;1164;;0;30;1183;66
"VIDEO";"https://instagram.com/stories/tv_publica/3045310269342586370";"@florucas @bodegamerceddelestero @noelismc @sjturistico @ine.viana";2023-02-24 10:34;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/544B49882CF5CB1AEECDB87F1E0105AC_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=109&vs=524326703141354_2254672318&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzU0NEI0OTg4MkNGNUNCMUFFRUNEQjg3RjFFMDEwNUFDX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHTktvM1JOR2I1UTNpUzBFQUJ5bnRxZWIyS0FUYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACawopes05z1QBUCKAJDMywXQBv0vGp%2B%2BdsYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfAa_dxaXmdfn4sGhhUazhoVxbd3Nr8vdPGEl-KecbCI0A&oe=63FAE672&_nc_sid=ea0b6e&_nc_rid=ae7e0fb1bc";1172;;1129;;1;45;1172;59
"VIDEO";"https://instagram.com/stories/tv_publica/3045288111102936992";"@ine.viana @sjturistico @noelismc @bodegamerceddelestero @florucas";2023-02-24 09:50;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/84434ED1CAEC950EF47F54FAC8F7FEAA_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=108&vs=511111914518049_1046843944&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzg0NDM0RUQxQ0FFQzk1MEVGNDdGNTRGQUM4RjdGRUFBX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHTEU5MkJPYUtmbmNmNUFDQUdTcXNxNHdYLVZNYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaM7LSazcTXPxUCKAJDMywXQDSAAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfD2h9qf2o4zyZZtaUHFooo4HJRI-41qA6i315wLeXt5rw&oe=63FB4B12&_nc_sid=ea0b6e&_nc_rid=e9694d99d9";1202;;1175;;1;68;1190;63
