Type;Post URL;Content;Timestamp;Media URL;Impressions (Organic);Impressions (Paid);Reach (Organic);Reach (Paid);Replies;Taps Back;Taps Forward;Exits
"VIDEO";"https://instagram.com/stories/tv_publica/3048536552985822340";"@marianoanga @taniawed";2023-02-28 21:24;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/A34661E75BA59D7C693EA25B4A921DAF_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=107&vs=905079863978990_1171548687&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0EzNDY2MUU3NUJBNTlEN0M2OTNFQTI1QjRBOTIxREFGX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHTlNoM1JOdVVqdy15NkFCQUc1a3YwbkVFYlpRYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaWjo2l%2FK7vPxUCKAJDMywXQC4AAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfAHmw9STQTw3FXxCNQ74Cscdkooe0srM2fYtm7CTbB3HA&oe=64009259&_nc_sid=ea0b6e&_nc_rid=13064e854f";1009;;956;;0;28;815;127
"VIDEO";"https://instagram.com/stories/tv_publica/3048358014877752564";"@unsamoficial @cusam.unsam @_taller_de_marcos_ @gabiseghezzo @sol_despeinada @jmcafferata @tec.ciencia.ar";2023-02-28 15:30;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/E648DBD8F61A226BFFC3F772BD479CA9_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=107&vs=887675692460499_340425059&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0U2NDhEQkQ4RjYxQTIyNkJGRkMzRjc3MkJENDc5Q0E5X3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHRTZGNGhNbkdremZoNXdWQUl5Z2lROFNZam9rYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaykMrA6JzlPxUCKAJDMywXQC71wo9cKPYYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfB29wy9cSIqhsOOmFUNgpYbgpHHtzvf4-iI3LvrsOhUvA&oe=64009258&_nc_sid=ea0b6e&_nc_rid=01e0704099";1461;;1432;;0;10;1002;237
"VIDEO";"https://instagram.com/stories/tv_publica/3047647633058517853";"@mariabecerra @fnsoloficial";2023-02-27 15:58;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/B6422EC3392320C8A290AAAE39AE1B96_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=107&vs=159840663573539_2181087785&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0I2NDIyRUMzMzkyMzIwQzhBMjkwQUFBRTM5QUUxQjk2X3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHT0pFNnhNaUNyVHVwNDhBQUxXSDRLN1ZvNVkyYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbG7qPs%2BJDXPxUCKAJDMywXQC4AAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfCdj-3G7TbfVVV_APAOgbLyZVgtWu4VqA3IyubwrKY-1w&oe=63FEE06F&_nc_sid=ea0b6e&_nc_rid=b9cf57ef96";1268;;1245;;0;13;785;266
"IMAGE";"https://instagram.com/stories/tv_publica/3046409067992137009";"";2023-02-25 22:57;"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/329270837_1276034683124614_9177830476188848524_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeEJ-wwv3sLSIOqo060zPlDswRUm_AHhoBXBFSb8AeGgFT5DVNF_gg_WqrysVmkOlxI&_nc_ohc=_maB-hEzXYMAX8m2ch2&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfAnWbzu7npB2Ihk_r_5V9H4ogdeaQrW2W393lu09r5Nbw&oe=63FF133B";1427;;1406;;1;66;1280;176
"IMAGE";"https://instagram.com/stories/tv_publica/3046408780128680033";"@poetthory @jose._.barbano";2023-02-25 22:57;"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/332392167_3599386630285155_5927302987145043669_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeGun9aCOTvnIiKwkkGlNYtzYmzrPkg_KEJibOs-SD8oQkwECh65cmoAlmuepqwDiqU&_nc_ohc=vc7P1L53ubsAX-6MKMC&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfBrliuf6ZKWLvdO2z7fzRSGkQsHuL3hIoecDujfL0EGNg&oe=64006419";1479;;1448;;0;93;1478;30
"IMAGE";"https://instagram.com/stories/tv_publica/3046407990852834132";"";2023-02-25 22:55;"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/333161993_753494879626389_8510350142940528522_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeEMh6w10xowxwWMPd7HRnWTTQnD9F1v1PZNCcP0XW_U9nR5BuqK_xaobctAbIXHIUk&_nc_ohc=SOSSJyYuQMAAX_aPrNU&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfDDCeI3KVHU4i1L-ZQIatZhEUM8RBE_1v1Vs5aMqMcqxw&oe=64000AEE";1495;;1464;;0;165;1497;31
"VIDEO";"https://instagram.com/stories/tv_publica/3046407791049737852";"Nos mojamos un poco en San Juan";2023-02-25 22:55;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/C94AA7B123F0EA5E1DE995AB68746F8E_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=110&vs=103314859369816_3477873017&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0M5NEFBN0IxMjNGMEVBNUUxREU5OTVBQjY4NzQ2RjhFX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHQWhsMnhPV2JRS25ac1FBQUwwcXg1dEVQbkZHYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaWp63hoImMQBUCKAJDMywXQCiZmZmZmZoYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfDT8EC_2wRPNGnj01DXs9Xi0hCweHBq2GPAvHtYSqTcBA&oe=63FC78DD&_nc_sid=ea0b6e&_nc_rid=0c8215439b";1516;;1495;;1;189;1483;37
"VIDEO";"https://instagram.com/stories/tv_publica/3046407097538339353";"";2023-02-25 22:54;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/3D4FC9B9F5D4AEF12590F4EBCAC857A0_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=109&vs=2147469765443999_3732125384&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzNENEZDOUI5RjVENEFFRjEyNTkwRjRFQkNBQzg1N0EwX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHQ1hWM3hNOFNDUkJxMzhEQVBKNE9GWF9Ud0VNYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbaz%2B%2FO5oPpPxUCKAJDMywXP%2FBaHKwIMScYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfAmpPEejCYOLfSnn4GS6woqZHuV3FePnigqe7N41-n3Nw&oe=63FCA4AB&_nc_sid=ea0b6e&_nc_rid=bbc9451394";1546;;1528;;0;52;909;34
"VIDEO";"https://instagram.com/stories/tv_publica/3046411893767715655";"@fnsoloficial @daleqva.oficial @pablodavidortiz_oficial @nenoaguirre_ok";2023-02-25 22:45;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/284A3A605B12692DAE03B52DFB11419E_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=109&vs=903234254353197_289162269&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzI4NEEzQTYwNUIxMjY5MkRBRTAzQjUyREZCMTE0MTlFX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHTkF2NGhQbHJPRmtrNDRBQU1YRUVIY0M4Zlp4YnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaE3rvs%2FqibQBUCKAJDMywXQC4AAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfCpTGq4s9p6HjWVbA1XnWQrHXcjg2lDmMdydKKGOIjAGg&oe=63FCB62C&_nc_sid=ea0b6e&_nc_rid=2eafe5901b";1509;;1503;;0;27;1391;73
"VIDEO";"https://instagram.com/stories/tv_publica/3046342480099315954";"@kapangasok @monokpg @fnsoloficial @ine.viana @florucas";2023-02-25 20:43;"https://video-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/7B474E63BD7138B2042C8E3AF01440AC_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=video-lcy1-1.cdninstagram.com&_nc_cat=109&vs=705698901347006_2337027967&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzdCNDc0RTYzQkQ3MTM4QjIwNDJDOEUzQUYwMTQ0MEFDX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHRWcxM1JPMkNGQXhVNm9DQUdjWW5CYzVDMFY3YnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbAu%2BCC9fDzPxUCKAJDMywXQC4AAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfCVMts3Qwp73ieX9o-3NL3iTa5sirud79VKbux3U1OSxg&oe=63FCA7BD&_nc_sid=ea0b6e&_nc_rid=fa7fe3c81c";1695;;1634;;1;23;1469;122
