Image;PostLink;Content;Type;Timestamp;Reactions;Comments;Shared;Clicks;LinkClicks;Impressions;Impressions (Organic);Impressions (Paid);Reach;Reach (Organic);Reach (Paid);VideoViews (Organic);VideoViews (Paid);VideoTimeWatched;Engagement;Spent
"https://scontent-lcy1-2.xx.fbcdn.net/v/t15.5256-10/356399436_255599427100629_3172623504977642510_n.jpg?stp=dst-jpg_s130x130&_nc_cat=110&cb=99be929b-3346023f&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeG6na8JDqawhe_ys6-D8uMKtSIPKjJbgKa1Ig8qMluAphlYZh4kJs8pUJABlJYvXAA&_nc_ohc=TUcd4s02HcsAX-Q-EnL&_nc_ht=scontent-lcy1-2.xx&edm=AKIiGfEEAAAA&oh=00_AfCzDHaNT69EiuaGojEonPoyBci5I_ZQ-dvN1Av7vmURZg&oe=64CFD4C3";"https://facebook.com/105921658046/posts/646573774179972";"🏆¡Tres al hilo para BOCA! 

Desde Avellaneda para todo el país, las Gladiadoras levantan el trofeo del #CampeonatoYPF 2023.

#FútbolFemeninoEnTVP";"video";2023-06-30 21:43;14456;302;2165;6751;1;398192;398192;0;398192;398192;0;144393;0;8;"59.45";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/357340443_961141438516393_5319584125512608076_n.jpg?stp=dst-jpg_s130x130&_nc_cat=101&cb=99be929b-3346023f&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeGzA3GXdsaxOhwrolb15b9UdP5d1JUsfYB0_l3UlSx9gKQ9amEyl5py9jePw6n4fwI&_nc_ohc=EfrnwmxY5q8AX9YrB-C&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfAIjkXBupPI_BQzOaHfxrX5hA47EfUuFYL3kr5jN6l78w&oe=64CE0BE1";"https://facebook.com/105921658046/posts/646566237514059";"🎶¡Que de la mano de Palomar, toda la vuelta... ⭐️! 

Entre emoción y lágrimas, la goleadora del partido se suma a los festejos y le dedica el título a su familia.

Reviví Club Deportivo UAI Urquiza vs BOCA en https://youtube.com/watch?v=A6qzRZv_FCg

#FútbolFemeninoEnTVP";"video";2023-06-30 21:20;131;6;7;132;1;7656;7656;0;7478;7478;0;2051;0;9;"36.91";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/345584579_645479560784425_3248909399518529854_n.jpg?stp=dst-jpg_s130x130&_nc_cat=111&cb=99be929b-3346023f&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeGb9SiO0n80-C8aCU6wwdmmFyK6qxK1qSMXIrqrErWpI3hda3r4dReA-phojtBKrXU&_nc_ohc=ZZK4QhtRW5sAX8tQxhX&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfDygiDJBvd1RrtHBGGoNFV4LtKNZW9h_QwkPHnWlN4XCg&oe=64CED68B";"https://facebook.com/105921658046/posts/646561094181240";"🏆#UAI 0-1 #BOC | FINAL |  ¡Boca, Boca, Boca! Las Gladiadoras se coronaron campeonas del #CampeonatoYPF en Avellaneda.

Reviví Club Deportivo UAI Urquiza vs BOCA en https://youtube.com/watch?v=A6qzRZv_FCg… 

#FútbolFemeninoEnTVP";"video";2023-06-30 21:05;172;4;12;231;0;7346;7346;0;7184;7184;0;2807;0;10;"58.32";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/356181292_794290745717316_1024577124790508761_n.jpg?stp=dst-jpg_s130x130&_nc_cat=107&cb=99be929b-3346023f&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeGQ7PyLgRrt_XzyXKxAKcPPcZdLzlVLiWdxl0vOVUuJZ60-jbD0SDhlfz7nZshDTfo&_nc_ohc=j7YI_ZJsPEsAX-yE0uk&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfC9YQ_xN-hnNJ4C8AsTsq3Fven_RJCy19gtvpDC24Ok3A&oe=64CEDBF3";"https://facebook.com/105921658046/posts/646527930851223";"🏆#UAI 0-1 #BOC | 11'PT |  ¡Goool de Boca! Las Gladiadoras se adelantan en la final tras el gol de Estefanía Palomar.

Mirá Club Deportivo UAI Urquiza vs BOCA en https://www.youtube.com/watch?v=A6qzRZv_FCg

#FútbolFemeninoEnTVP";"video";2023-06-30 19:22;222;4;20;388;0;15839;15839;0;15839;15839;0;5065;0;11;"40.03";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/357450336_646515067519176_4247305990461051054_n.jpg?stp=dst-jpg_p130x130&_nc_cat=104&cb=99be929b-3346023f&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeGXt18t8w2gy4tZuF_EcVee1BZEslyhymPUFkSyXKHKYxtgEuF498vZmTcnwJ5bbX0&_nc_ohc=EpHWpR78OmAAX80jDZl&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfBwHyQln5OKOObYe7VDAmloEHofVXZvaA20F_3Uxjw_uQ&oe=64CF4951";"https://facebook.com/105921658046/posts/646515410852475";"🏆¡Llego el momento de la Gran Final! El Furgón y las Gladiadoras se miden cara a cara en la última jornada del #CampeonatoYPF.

🕐19:00 | BOCA vs Club Deportivo UAI Urquiza

Mirá la definición del título en https://www.youtube.com/watch?v=A6qzRZv_FCg

#FútbolFemeninoEnTVP";"photo";2023-06-30 18:42;12;2;2;60;15;4695;4695;0;4674;4674;0;0;0;0;"16.26";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/352562878_630336919066791_2802795865970992360_n.jpg?stp=dst-jpg_s130x130&_nc_cat=111&cb=99be929b-3346023f&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeHoInBOK09obujvv-75UkjSgJAaNi2-keyAkBo2Lb6R7AvztXuyXsTG8-Q98GzxzEw&_nc_ohc=WOv0s5lIXecAX98dPap&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfB6oB6QKTVB_83j5Sqfa1VD4gRWGiTI9TCh8BYNyDC7RA&oe=64CFA0ED";"https://facebook.com/105921658046/posts/646400157530667";"La circulación de vehículos sin patente y/o el tapado parcial o total del dominio para evitar multas, son algunas de las infracciones más frecuentes detectadas por los inspectores de la Agencia Nacional de Seguridad Vial. Desde Cecaitra informan los peligros de esta práctica.";"video";2023-06-30 13:16;658;227;84;6603;0;154714;154714;0;147489;147489;0;85394;0;22;"51.34";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/357572005_1400255807482197_3542837590250263708_n.jpg?stp=dst-jpg_s130x130&_nc_cat=108&cb=99be929b-3346023f&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeEsm7L2DqKlD8_dnypsQM2wRr_CFbhmrktGv8IVuGauSzURT714PMsvx_5qezYHTlY&_nc_ohc=9hwyGTdrAZoAX87leRg&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfCFRNlDHKBkK6gyltxBya7ARRP5FUOxvUTc6U1XvWElNQ&oe=64CEAFF6";"https://facebook.com/105921658046/posts/646397400864276";"Organizaciones feministas, sindicales, sociales, de derechos humanos, académicas y del colectivo LGTBIQ+ impulsan una campaña por una reforma judicial feminista.

Más información en www.tvpublica.com.ar";"video";2023-06-30 13:11;43;17;9;68;0;2730;2730;0;2652;2652;0;594;0;5;"51.66";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/355901926_285578157331814_3740963839332631334_n.jpg?stp=dst-jpg_s130x130&_nc_cat=102&cb=99be929b-3346023f&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeEbyzLDxz1tcN5BMUV2xbSIocNPVEF8zeyhw09UQXzN7KGfJa2d4ZKzhDo0KFefbOg&_nc_ohc=uhKqE4mLlAEAX-fP5gd&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfBlKYChA0aDQ0GkzyosHXGGpn0cPoMxmNLfQ0VUuVntOg&oe=64CF998F";"https://facebook.com/105921658046/posts/646394244197925";"Boca Juniors goleó 4-0 a Monagas y se clasificó a los octavos de final de la Copa Libertadores como primero en su grupo. Los goles los hicieron Marcelo Weigandt, Valentín Barco y Luis Vázquez (2).

Más información en www.tvpublica.com.ar";"video";2023-06-30 13:05;1156;35;29;1933;1;67298;67298;0;66985;66985;0;26289;0;26;"47.07";"0"
"https://scontent-lcy1-2.xx.fbcdn.net/v/t15.5256-10/357415790_176035252115441_791534689504007593_n.jpg?stp=dst-jpg_s130x130&_nc_cat=106&cb=99be929b-3346023f&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeHRKHLEnrmBN96_NKtPR_1iruon6XFv6eSu6ifpcW_p5HPRUHrLXnxf3tca0gGVo-k&_nc_ohc=AEZXX0EHLpcAX8o2J4m&_nc_ht=scontent-lcy1-2.xx&edm=AKIiGfEEAAAA&oh=00_AfAreJV13HSNICG7VqHf1XbJ7J1QHtd2bbqsKQaZVhlebQ&oe=64CEAD6A";"https://facebook.com/105921658046/posts/646352294202120";"#QueReciclo es una empresa argentina dedicada al reciclaje de productos informáticos que busca evitar la acumulación de desechos peligrosos y reducir la explotación de recursos naturales. 

Mirá #MañanasPúblicas en www.tvpublica.com.ar";"video";2023-06-30 11:37;29;0;6;21;0;3638;3638;0;3477;3477;0;585;0;4;"16.11";"0"
"https://scontent-lcy1-1.xx.fbcdn.net/v/t15.5256-10/356560680_580069450817832_660629235992462896_n.jpg?stp=dst-jpg_s130x130&_nc_cat=102&cb=99be929b-3346023f&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeGNIDKdU3gX--FYzT0IAcyH_xY1qnzwm3T_FjWqfPCbdHjUqkoEJ1bG_Lfv-P4fgtk&_nc_ohc=P73ySVdlcw4AX8hra81&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfAUKEtQMaBt9sBABcLnwyAqY9Fb6_vonNXb6mfncgmpUA&oe=64CFB12E";"https://facebook.com/105921658046/posts/646259264211423";"#AireNacional ya comenzó su recorrido por las radios de todo el país. Sumate al programa más federal de la televisión abierta. 

Mirá todos los programas en www.tvpublica.com.ar";"video";2023-06-30 08:19;29;3;2;50;2;8925;8925;0;8730;8730;0;1324;0;2;"9.62";"0"
