Id;URL;Text;Timestamp;Impressions (Organic);Impressions (Paid);Favorites (Organic);Favorites (Paid);Retweets (Organic);Retweets (Paid);Replies (Organic);Replies (Paid);Quotes;Link Clicks (Organic);Link Clicks (Paid);Profile Clicks (Organic);Profile Clicks (Paid);Engagement;Video views (Organic);Video views (Paid)
"1641968811971690501";"https://twitter.com/a/status/1641968811971690501";"El Duko también fue parte de la Fiesta Nacional de la Confluencia e hizo explotar la Isla 132 con “Givenchy”.

Toda la música de #FestivalPaís en https://t.co/fnEKkuadQ9 https://t.co/esJwgunfp1";2023-03-31 22:00;"2688";"0";"5";"0";;;;;;;;"3";"0";"2.98";"756";"0"
"1641961733420994560";"https://twitter.com/a/status/1641961733420994560";"🎶¡No todo orgasmo acaba bien amor, no todo lo que brilla es oro, no quedo ni el loro en esta habitación que nunca alquilamos!🎵 “Tantas Escaleras” de Las Pastillas del Abuelo en el Festival Nacional de la Confluencia, Neuquén.

https://t.co/fnEKkuadQ9 https://t.co/5YbYXIwTCC";2023-03-31 21:32;"2367";"0";"6";"0";;;"2";"0";;;;"2";"0";"4.22";"544";"0"
"1641958710267265026";"https://twitter.com/a/status/1641958710267265026";"Reviví lo mejor de #FestivalPaís. Show de La K'onga en el Festival Nacional de la Confluencia en Neuquén y el hit que se bailó todo el verano. “Universo Paralelo” junto a Nahuel Pennisi.

Mirá https://t.co/fnEKkuadQ9 https://t.co/AzWbnV3nxj";2023-03-31 21:20;"2634";"0";"8";"0";"4";"0";;;;"1";"0";;;"4.94";"638";"0"
"1641952500050714624";"https://twitter.com/a/status/1641952500050714624";"El “Elevador De Mente” pone a prueba la coordinación 🖐️👁️ de @diegotopaok ¿En cuánto tiempo logrará completar el circuito?

#NocheDeMente | https://t.co/fnEKkuadQ9 https://t.co/9JMc1Gbvrh";2023-03-31 20:55;"2512";"0";"9";"0";"1";"0";"1";"0";;;;"5";"0";"6.37";"818";"0"
"1641944414867079168";"https://twitter.com/a/status/1641944414867079168";"Luis Enrique @csrecreativa explica el fenómeno de la Diferencia de Potencial, un impulso que impulsará el “Ventilador de Mente”

#NocheDeMente | https://t.co/fnEKkuadQ9 https://t.co/X9EWumGNrZ";2023-03-31 20:23;"2088";"0";"6";"0";"1";"0";;;;"1";"0";"3";"0";"5.27";"543";"0"
"1641936789077213184";"https://twitter.com/a/status/1641936789077213184";"El Fondo Monetario Internacional concluyó la cuarta revisión del acuerdo con nuestro país y aprobó el desembolso de US$5.400 millones.

Más información en https://t.co/fnEKkuadQ9 https://t.co/k5xfSr29Qj";2023-03-31 19:53;"5271";"0";"22";"0";"2";"0";"5";"0";"1";"1";"0";"2";"0";"6.26";"1894";"0"
"1641930993345986560";"https://twitter.com/a/status/1641930993345986560";"Tras la cumbre en La Plata, el Consejo Provincial del Partido Justicialista convocó a una movilización ante la Corte Suprema el próximo 13 de abril.

Más información en https://t.co/fnEKkuadQ9 https://t.co/I9XS9f5O6D";2023-03-31 19:30;"5177";"0";"32";"0";"13";"0";"6";"0";"2";"1";"0";"4";"0";"11.2";"1620";"0"
"1641915631732678658";"https://twitter.com/a/status/1641915631732678658";"La jueza del Distrito Sur de Manhattan, Loretta Presca, falló contra el Estado argentino en el juicio por la expropiación de YPF. 

Más información en https://t.co/fnEKkuadQ9 https://t.co/J95NSL0PaB";2023-03-31 18:29;"2154";"0";"4";"0";;;"2";"0";;;;"2";"0";"3.71";"554";"0"
"1641911380570767361";"https://twitter.com/a/status/1641911380570767361";"ESTRENO | “Las Bellas Almas de los Verdugos”, una miniserie dirigida por Paula Luque y protagonizada por Diego Cremonesi y Vera Spinetta sobre la vida del autor de Operación Masacre, antes de convertirse en el célebre escritor Rodolfo Walsh.

🕚 23:00 | https://t.co/fnEKkuadQ9 https://t.co/Vw57ukuvHo";2023-03-31 18:12;"3246";"0";"19";"0";"10";"0";"1";"0";"1";"6";"0";"1";"0";"11.71";"858";"0"
"1641896435913314342";"https://twitter.com/a/status/1641896435913314342";"BAN 0-1 BEL |31' ST| ¡GOOOOOL de Belgrano! Milagro Vargas no perdonó a Banfield y marca el primer tanto del encuentro.

Mirá @BanfieldFutFem vs @BelgranoFem en https://t.co/N6asxMAHbW

#FútbolFemeninoEnTVP #CampeonatoYPF https://t.co/lUe24U9Es7";2023-03-31 17:13;"2602";"0";"5";"0";;;"1";"0";;;;;;"2.31";"673";"0"
