Id;Type;Image;URL;Content;Timestamp;Impressions (Organic);Impressions (Paid);Reach (Organic);Reach (Paid);Likes;Saved;Comments;Clicks;Interactions;Engagement;Video Views (Organic);Video Views (Paid);Post clicks (Paid);Post Interactions (Paid);Spend
"3027311697412953218_1417037267";"FEED_CAROUSEL_ALBUM";"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/327764392_2294915547358129_5308074505353605018_n.webp?stp=dst-jpg&_nc_cat=111&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=HaCLXJCstdIAX8Khb02&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfC2RfKB64E7lj0kT4tYv5bEGH0WI4diN58kLH5O6WAGfw&oe=64DDB9B4";"https://www.instagram.com/p/CoDK_MMrxSC/";"Llegaron las noches cuarteteras y las vas a poder disfrutar en nuestras plataformas. 

🗓 Lunes 30

Banda XXI
La K’onga
Dale Q’ Va
Q’ Lokura
Magui Olave
Chipote
Monada
Fede Herrera
China Romero

🗓 Martes 31

Ulises Bueno
Damián Córdoba
La Banda de Carlitos y Euge Quevedo
El Rey Pelusa
Jean Carlos
The Monkey
Desakta2
Elias y Ezequiel
Luz Paisio";2023-01-30 14:34;49683;;39355;;1137;70;31;"0";1238;"31.46";;;;;
"3025351448997744606_1417037267";"FEED_CAROUSEL_ALBUM";"https://scontent-lcy1-2.cdninstagram.com/v/t51.29350-15/327525517_191439673562842_7233866399511336330_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=9puZrDr6hvcAX8yfo4b&_nc_ht=scontent-lcy1-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCv8j6UL3_n-UK_-N5bW1kF4Cmb0vFdMHFxUxfDdjYslg&oe=64DDEB84";"https://www.instagram.com/p/Cn8NR0mOU_e/";"🎟 ¡Ganate entradas para ver a la Selección!

✨ Entrá a tvpublica.com.ar y subí tu video con un mensaje de agradecimiento para la Selección campeona

💬 Los más votados participarán por entradas para ver los partidos amistosos que la Selección Argentina jugará en 2023 y grandes premios!";2023-01-27 21:40;106790;;86095;;4141;270;75;"0";4486;"52.11";;;;;
"3024516635105787386_1417037267";"FEED_CAROUSEL_ALBUM";"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/327345947_596676605631397_294730371386466694_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=esn03iJYz1cAX855-Uc&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDb5HcgMFI0wHonN7lbsFnSlsdeJtjuegKQ0vLbEw2AVA&oe=64DE18AD";"https://www.instagram.com/p/Cn5PdrkvX36/";"La Fiesta de la Playa de Río de Concepción del Uruguay cerró su edición 2023, que contó con una grilla de grandes artistas y un público que acompañó masivamente cada una de las cinco noches

🔴 Volvé a ver la @fiestadelaplaya en tvpublica.com.ar";2023-01-26 18:01;7346;;5832;;124;2;0;"0";126;"21.6";;;;;
"3019443561779046188_1417037267";"FEED_CAROUSEL_ALBUM";"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/326002624_563561299119302_8525395635501143315_n.webp?stp=dst-jpg&_nc_cat=109&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=YQOOA6FEfS4AX-85QyN&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfAkmGyHDrGBIFSytpk5RtD9YzZ9NfCHDITzgawMwQQxLQ&oe=64DD667E";"https://www.instagram.com/p/CnnN-v3Lics/";"La 63° edición del Festival Nacional de Folclore de Cosquín se lleva a cabo entre el 21 y el 29 de enero. Sumate a #FestivalPaís en tvpublica.com.ar, ¡No te lo pierdas!

Sábado 21: @eljuanfuentes + @yamila.cafrune.oficial 

Domingo 22: @loscaligarisoficial + @lacallejerafolklorica 

Lunes 23: @lostekisoficial + @loscaligarisoficial 

Martes 24: @duocoplanacu + @la_peleritti 

Miércoles 25: @losnocherosofic + @ahyremusica 

Jueves 26: @jorgerojasoficial + @roxanancarabajal 

Viernes 27: @chpalavecino_oficial + @sergiogalleguillooficial 

Sábado 28: @sole_pastorutti + @nahupennisi 

Domingo 29: @abelpintos + @franco.luciani.armonica";2023-01-19 18:02;34826;;27777;;631;50;30;"0";711;"25.6";;;;;
"3018661907813868311_1417037267";"FEED_CAROUSEL_ALBUM";"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/325740464_2027563487447681_5932210501996386635_n.webp?stp=dst-jpg&_nc_cat=107&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=e74OLIzLjTAAX86DVYs&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfADWytyvIfG_8Wj-HhVcFCvWdfQ6p1H310Hvkr1UhViiQ&oe=64DC9B89";"https://www.instagram.com/p/CnkcQL4P6MX/";"La Fiesta Nacional de la Playa de Río se hace en Concepción del Uruguay (Entre Ríos) del 18 al 22 de enero y la vas a poder ver en nuestras pantallas.

En esta oportunidad estarán:

Miércoles 18: @lakongaoficial 
Jueves 19: @kepersonajes 
Viernes 20: @abelpintos 
Sábado 21: @bersuitok + @cuatro.pesos + @manchaderolando
Domingo 22: @lospalmerasoficial

#FiestaDeLaPlaya #FestivalPaís";2023-01-18 16:09;31689;;25532;;645;28;5;"0";678;"26.55";;;;;
"3015139153793449742_1417037267";"FEED_CAROUSEL_ALBUM";"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/324873152_842013587089093_2276368418443150750_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeFyeSecVpQwBD2oM3PZCu1N2DngS1Fx1WLYOeBLUXHVYtEvsT6K-jos1l5tW9yYB5A&_nc_ohc=vLUn-Gyc-h0AX8SeoX3&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBRPYyXfg9aXHbVi5s3IfnAvl1uQ2nAnnnguAJNQNyu8Q&oe=63C8EDB0";"https://www.instagram.com/p/CnX7RXiOv8O/";"En Santa María de Punilla se celebra una nueva edición del Festival de la Avicultura. El Predio El Paseo, un espacio a cielo abierto enmarcado en las Sierras Chicas de Córdoba, es el escenario donde grandes artistas despliegan sus talentos. .

🗓 Viernes 13 de enero
@jorgerojasoficial
@lakongaoficial
@manuelwirzt

🗓 Sábado 14 de enero
@marcelamorelook
@moragodoytango

🗓 Domingo 15 de enero
@lucianopereyraoficial
@orquestadeliovaldez

🔴 Miralo en exclusiva por streaming en tvpublica.com.ar

#FestivalPaís #Avicultura";2023-01-13 19:30;6843;;5279;;76;5;1;"0";82;"15.53";;;;;
"3015000753211756746_1417037267";"FEED_CAROUSEL_ALBUM";"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/325215490_712494693586701_2154995862650283340_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=iJtKAbZnc6cAX_k8_eS&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDuebmAA3P4wet19yk8ZIW0d93QbvVo7F_rp1H7GSfOUg&oe=64DCE60C";"https://www.instagram.com/p/CnXbzX8uNDK/";"🗓 Viernes 13 de enero 
Antonio Tarragó Ros
Analía Espindola
Belén Majul
Cacho Espíndola
Castelo y Elinho Filho

🗓 Sábado 14 de enero 
Ofelia Leiva
Antonio Taibo Y Los Mensajeros Del Chamamé
Dalma Ferreira, Grupo Bohemia Guaraní
Desidério Souza
Diego Lopez Recitador

🗓 Domingo 15 de enero de 2023
Teresa Parodi
Amandayé
Ana Paula Romero Grupo
Ángel Pato García
Antonella Vera

🗓 Lunes 16 de enero
Tito Ávalos
Chango Spasiuk Y Su Grupo + Taco Y Suela
Abel Fernández Y Su Conjunto
Agustín Monzón
Alan Guillen

🗓 Martes 17 de enero
Nahuel Pennisi
Bianca Almirón
Faustino Flores
Grupo Itatí
Grupo Tupá

🗓 Miércoles 18 de enero
Alfredo Monzón
Amaneciendo Atardeceres
Chamameceras
Conjunto San Martín
Daniel Garcés

🗓 Jueves 19 de enero
Hermanas Vera
Alejandro Balbi
Bruno Mendoza
Chamamé Kuñá: 4 Naciones
Chamameceros De Ley
Chingoli Y Mario Bofill

🗓 Viernes, 20 de enero de 2023
Aramí Cáceres
Che Trío Porá
Daniel Franich
Esteban Espíndola, El Pichoncito Del Acordeón
Federico Varela Recitador

🗓 Sábado, 21 de enero de 2023
Adolfo Alegre
Añoranza
Conjunto Honorio Serpa Grupo
Delfina Salomón Los Ángeles Románticos
Eduardo Romero Y Su Conjunto

🗓 Domingo 22 de enero
Abel Rodríguez El Fuelle Azul Chamamecero
Braian Acevedo
Conjunto Sentimiento
Diego Gutierrez
Esencia Guaraní

🔴 Miralo en tu tele o por streaming en tvpublica.com.ar

#FestivalPaís #Chamamé";2023-01-13 14:55;11249;;8539;;160;9;6;"0";175;"20.49";;;;;
"3014891676979985630_1417037267";"FEED_CAROUSEL_ALBUM";"https://scontent-lcy1-2.cdninstagram.com/v/t51.29350-15/324849311_496013095993417_3592788788640051407_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=oi9ZLZ45JXsAX9edFL5&_nc_ht=scontent-lcy1-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDXLR-JhdNyjkPAshUVRq9yrGvyamX1It646UcoEBOhMQ&oe=64DE2EF8";"https://www.instagram.com/p/CnXDAGyrHze/";"¡Diamante en 10 fotos!

Voces de todos el país homenajearon el folclore nacional en el Campo Martín Fierro.

El Festival Nacional de Jineteada y Folclore de Diamante se transmitió completo en tvpublica.com.ar y en nuestro canal oficial de YouTube.

#FestivalPaís";2023-01-13 11:18;14180;;11552;;514;8;6;"0";528;"45.71";;;;;
"3014541900506080227_1417037267";"FEED_CAROUSEL_ALBUM";"https://scontent-lcy1-2.cdninstagram.com/v/t51.29350-15/324554508_842213610405568_106542112719771701_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=HsjWOCPJ69wAX_-caa7&_nc_ht=scontent-lcy1-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBhoaXrqAbUv_PHpYiPgnn9bXGhK2p64k7PbIFko4YKWw&oe=64DDC52E";"https://www.instagram.com/p/CnVzeMEMiPj/";"¡Diamante en 10 fotos!

El Festival Nacional de Jineteada y Folclore de
Diamante celebró su edición 51. 

La tradición traspasa generaciones en la Ciudad de Diamante, en Entre Ríos. El festival se transmitió completo en tvpublica.com.ar y en nuestro canal oficial de YouTube.

📷 Televisión Pública y @diamanteturismoentrerios 

#FestivalPaís";2023-01-12 23:43;8876;;7077;;229;3;4;"0";236;"33.35";;;;;
"3009910003175689385_1417037267";"FEED_CAROUSEL_ALBUM";"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/323872427_200955399096501_702904900944067121_n.webp?stp=dst-jpg&_nc_cat=108&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=qNuUCtShkGYAX8CZhSd&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfAp9EWhFeL_q0GSe1vWPw6HL8PQqdUQeZqWsVgbtK80LA&oe=64DDF471";"https://www.instagram.com/p/CnFWTNhLoyp/";"Del 06 al 16 de enero se celebra el Festival de Doma y Folklore de Jesús María 2023, que se lleva a cabo en el icónico anfiteatro José Hernández, provincia de Córdoba. La edición 57° de esta gran fiesta cuenta con una grilla de reconocidos artistas de la música nacional

🗓 Viernes 06 de enero
Abel Pintos
Jairo
Ceibo
Meibel
Efraín Colombo

🗓 Sábado 07 de enero
Soledad
Los Nocheros
Natalia Pastorutti
Francisco Benítez
Campedrinos

🗓 Domingo 08 de enero
Ahyre
Nahuel Pennisi
Emiliano Zerbini
Mariana González
La Konga

🗓 Lunes 09 de enero
Los Tekis
Guitarreros
Florencia Paz
Q’Lokura

🗓 Martes 10 de enero
Sergio Galleguillo
Los Carabajal
Las Voces de Orán
Los Vizcacheros
Ulises Bueno

🗓 Miércoles 11 de enero
Los Manseros Santiagueños
Lucio Rojas
Lázaro Caballero
Magalí Gómez
Marcela Ceballos

🗓 Jueves 12 de enero
Luciano Pereyra
Dúo Coplanacu
Los Trajinantes
Los Pampas
Dale Q’Va

🗓 Viernes 13 de enero
El Chaqueño Palavecino
Los 4 de Córdoba
La Callejera
Cabales
El Loco Amato

🗓 Sábado 14 de enero
Jorge Rojas
Néstor Garnica
Roxana Carabajal
Cecilia Mezzadra
Vale el Trago

🗓 Domingo 15 de enero
Los Palmeras
Sele Vera
Orellana Lucca
Coroico
Marcelo Bracamonte
Damián Córdoba

#FestivalPaís #JesúsMaría";2023-01-06 14:20;83909;;61327;;2095;220;115;"0";2430;"39.62";;;;;
