Id;URL;Image;Title;Date;Video Views (Organic);Video Views (Paid);Reach (Organic);Reach (Paid);Likes (Organic);Saved (Organic);Comments (Organic);Interactions (Organic);Interactions (Paid);Engagement;Post clicks (Paid);Spend
"3070869295761440988_1417037267";"https://www.instagram.com/reel/Cqd61q1g8Dc/";"https://scontent-lcy1-2.cdninstagram.com/v/t51.36329-15/339123926_519729256795355_4383630570571422910_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=ab4e5JnkU6kAX_2Xkpz&_nc_ht=scontent-lcy1-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfA5XDUGiqZUe4DL1kc0eFdSrtaRgIMomYC_RGv3fTAvOQ&oe=64DE0DD5";"🎂 ¡Que los cumplas PAÍSSSSS!

🎊 Hola País cumplió un año y Tania y Marianolla lo celebraron como debe ser: con torta y piñata.

⚡️Todos los jueves a las 20:00 @taniawed y @marianoanga hacen #HolaPais por Twitch y YouTube ¡No te lo pierdas!";2023-03-31 17:56;9513;;8933;;140;3;6;149;;"16.68";;
"3069414070915634599_1417037267";"https://www.instagram.com/reel/CqYv9XFgxWn/";"https://scontent-lcy1-2.cdninstagram.com/v/t51.36329-15/338187661_1263609737575378_3251634900259518400_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=ml-yraQRJ6EAX-ie7dS&_nc_ht=scontent-lcy1-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDsFno9q7QL6HsOs3ikrOWB3raxhvY42qA_C7IFTqoC3Q&oe=64DC9CD0";"🎂 ¡Estamos de fiesta! Este jueves #HolaPaís cumple años y lo celebramos a lo grande con bombos y platillos 

🤔 ¿Qué cosas no deberían faltar en este festejo?

⚡️Todos los jueves a las 20:00 @taniawed y @marianoanga hacen #HolaPais por Twitch y YouTube ¡No te lo pierdas!";2023-03-29 17:45;6793;;6701;;111;2;3;116;;"17.31";;
"3069402045728652795_1417037267";"https://www.instagram.com/reel/CqYtOXwg337/";"https://scontent-lcy1-2.cdninstagram.com/v/t51.36329-15/339687549_618547536805520_9139485517213651326_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=iJtcSxIEmb8AX_mjPj7&_nc_ht=scontent-lcy1-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCfaXgyRFhanBl-e0A3V9rgXAR0Nu_2e-8EfbqrI2pMWQ&oe=64DD4221";"✨ Comenzó UPP a puro baile, cartas natales y muchas risas. 

🔥 Todos los miércoles a las 10:00 @chuckyacerbi y @julipresutto hacen #UUP #UnPocoPerdidos ¡No te lo pierdas!";2023-03-29 17:32;8105;;7768;;179;3;9;191;;"24.59";;
"3069341779150147095_1417037267";"https://www.instagram.com/reel/CqYfhYIgo4X/";"https://scontent-lcy1-1.cdninstagram.com/v/t51.36329-15/338178326_228804076391578_915645581802129450_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=o3X5yr3mOO8AX9nJF_r&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCU0xyMWFUgOm3I6D8CWG5t5ofSyd-DMk-El04NkcxHdA&oe=64DCE212";"Europa es protagonista de grandes movilizaciones en las últimas semanas. 

Inflación, discusión salarial, reformas que los trabajadores consideras regresivas y la guerra en Ucrania son el telón de fondo de las protestas. 

La conflictividad que vemos, ¿es un proceso aislado o llegó para quedarse?";2023-03-29 15:22;18146;;18744;;457;24;17;498;;"26.57";;
"3068878164206947597_1417037267";"https://www.instagram.com/reel/CqW2G5Egg0N/";"https://scontent-lcy1-1.cdninstagram.com/v/t51.36329-15/338609938_1653685281755706_2413668292179742582_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=ix97Xgxs9EYAX8tLWfh&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfB39Vt-UmqZfuCcGTOKbodmsudpdiBxES2Xup3z6mFVsw&oe=64DD7A2F";"Cuando te cae la ficha de lo que lograste… 🤯";2023-03-29 00:01;17185;;16952;;1002;68;12;1082;;"63.83";;
"3068868755644942642_1417037267";"https://www.instagram.com/reel/CqWz9-qgwky/";"https://scontent-lcy1-2.cdninstagram.com/v/t51.36329-15/339150721_173589788898319_7793874410841233853_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=auJoXUndPGgAX_EkQnz&_nc_ht=scontent-lcy1-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfB0OBxflwYxvSFT7LuPoJ-BWCn-iPEt15BiiJxfpjgmfg&oe=64DC8B80";"Se perdió el Mundial a último momento pero igual es campeón. Nico González jugó un partidazo en Santiago del Estero y después del encuentro habló con @sofimmartinez: “Vestir esta camiseta es lo más lindo que hay, solamente hay que disfrutar”";2023-03-28 23:45;9180;;8963;;362;10;2;374;;"41.73";;
"3068860476852067956_1417037267";"https://www.instagram.com/reel/CqWyFgcAN50/";"https://scontent-lcy1-1.cdninstagram.com/v/t51.36329-15/338939208_1545620729293008_6094002375002596882_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=yCuCZTFFVL8AX9JMxYr&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCzwmUFKkqWYN7CbZ2I7RTXK2W62MgQx21yYdAmQvFxVA&oe=64DD5B00";"Para qué me invitan si saben cómo me pongo

🎤 Lautaro agarró el micrófono y deleitó con unas estrofas al público que llenó el Estadio Madre de Ciudades";2023-03-28 23:27;70230;;67570;;6386;341;97;6824;;"100.99";;
"3068857026349216489_1417037267";"https://www.instagram.com/reel/CqWxTS6AbLp/";"https://scontent-lcy1-1.cdninstagram.com/v/t51.36329-15/338906153_218572890766073_4573705036468142935_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=KZqK_zkGgCQAX_pOPMC&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfD5fuDO3Hrq8JU23wcW0hNbLNhp6iSW8xRS5ftrkijfLw&oe=64DD7CB2";"Cuántas veces la cantaste en los días de Qatar? La Mosca hace “Muchachos” para acompañar la vuelta olímpica de los campeones del mundo en el Estadio Madre de Ciudades de Santiago del Estero";2023-03-28 23:20;12926;;12890;;872;36;5;913;;"70.83";;
"3068852191449127673_1417037267";"https://www.instagram.com/reel/CqWwM8DgRr5/";"https://scontent-lcy1-1.cdninstagram.com/v/t51.36329-15/339347323_453302563654808_9055342686741306153_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=Vb4Y60p7ohwAX8v_T76&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDb7YfRUMuBE8mkgWzALMfS3vfgMJ5C0TWVP0E-EkVwPQ&oe=64DE3613";"Una imagen que nunca nos vamos a cansar de ver: Lionel Andrés Messi levanta la Copa del Mundo";2023-03-28 23:10;66210;;64393;;3740;113;112;3965;;"61.58";;
"3068848655374050808_1417037267";"https://www.instagram.com/reel/CqWvZe1AWX4/";"https://scontent-lcy1-1.cdninstagram.com/v/t51.36329-15/338945235_6221093347912079_127095977646998172_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=c4dd86&_nc_ohc=DGLWXYODelMAX-zHOgB&_nc_oc=AQkvQhmcNHvHIvUPIpPpSAfkxOyIdrmthF_TZYh4OSUBaSVnwNVFi01LLeFLtTrK4eg&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCNO-6d2s4gkyCHpjzpUZP-fDI1Wksg3Et0BC8iXa31pA&oe=64DC74A2";"Si no hay gol del Fideo no vale

🍝 Di María marcó de penal el sexto de Argentina. Después Montiel completó la goleada y anotó el 7-0 definitivo con que la Selección derrotó a su par de Curazao";2023-03-28 23:03;53525;;53761;;2176;64;35;2275;;"42.32";;
