Image;URL;Title;Date;Link;Views;Likes;Comments;Shares;Duration
"https://metricool-download.s3.eu-west-1.amazonaws.com/tkvideocovers/202303/2069453-7215800505937743109.jpeg";"https://www.tiktok.com/@tv_publica/video/7215800505937743109?utm_campaign=tt4d_open_api&utm_source=awwuexz91plpu87c";"Cuando te cae la ficha de lo que lograste… 🤯 #scaloni ";2023-03-29 00:11;"https://www.tiktok.com/static/profile-video?id=7215800505937743109&hide_author=1&utm_campaign=tt4d_open_api&utm_source=awwuexz91plpu87c";26948;2414;7;53;48
"https://metricool-download.s3.eu-west-1.amazonaws.com/tkvideocovers/202303/2069453-7215795586417708294.jpeg";"https://www.tiktok.com/@tv_publica/video/7215795586417708294?utm_campaign=tt4d_open_api&utm_source=awwuexz91plpu87c";"Como cantante es un gran delantero 🫣 Lautaro Martínez y sus dotes de cantante en los festejos de la Selección ";2023-03-28 23:52;"https://www.tiktok.com/static/profile-video?id=7215795586417708294&hide_author=1&utm_campaign=tt4d_open_api&utm_source=awwuexz91plpu87c";664906;76005;97;650;52
