Thumbnail;URL;Title;Date;Views;Streaming
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/22c4fa93493bfd0a1d50_tvpublica_41149433801_1680217122//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1780256284";"Hola País - 30/03/23";2023-03-30 17:58;"209";"6528"
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/9b8f6f8134b58ebb8302_tvpublica_41142469993_1680096689//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1778932573";"Un Poco Perdidos: 29/03/2023";2023-03-29 08:31;"194";"5235"
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/1f5900119b5776fbc9bf_tvpublica_41142420089_1680095013//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1778917499";"Un Poco Perdidos: 29/03/2023";2023-03-29 08:03;"79";"0"
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/7f7165af49ab33d98813_tvpublica_41135439417_1679958011//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1777579135";"AG3: Nos visita el MI Pablo Acosta lichess.org";2023-03-27 18:00;"438";"7053"
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/9d38b747273ec187797a_tvpublica_41116636105_1679662962//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1774150201";"Día de la Memoria: transmisión especial en vivo";2023-03-24 08:02;"355";"8838"
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/07424a05ae106f2cec34_tvpublica_41114214665_1679612325//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1773682783";"Hola País, juega la selección";2023-03-23 17:58;"1018";"4003"
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/8dc5176f175d7111fdf8_tvpublica_48174451405_1679439640//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1771905631";"Abro Hilo - La verdad nos hará libres: Hablamos de fake news";2023-03-21 18:00;"230";"7170"
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/dcf3115ed1b84fa09715_tvpublica_48169165773_1679353443//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1771016079";"Ag3: Nos visita la GM Claudia Amura - 20/03/2023 Lichess.org";2023-03-20 18:04;"356";"7173"
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/b7dc3f967cd986590b12_tvpublica_41080175785_1679007782//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1767183853";"Hola País: 16/03/2023";2023-03-16 18:03;"140";"6069"
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/43da7398bdfae46706c2_tvpublica_48133951021_1678834916//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1765347176";"Abro Hilo: ¿Cómo aprendemos lo qué aprendemos? Educación y neurociencias";2023-03-14 18:01;"98";"6157"
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/aba55a161b07b1a90a0f_tvpublica_48128263677_1678748478//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1764423579";"Ag3: Táctica y estrategia con el GM Ariel Sorín - 13/03/2023 Lichess.org";2023-03-13 18:01;"268";"6928"
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/29c8b8662c87d72ca775_tvpublica_41044405609_1678402935//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1760459260";"Hola País - 09/03/2023";2023-03-09 18:02;"114";"5557"
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/974c0baf8de4b4f1568b_tvpublica_41035043705_1678230115//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1758622141";"Abro Hilo: Lo personal es político… ¡El lenguaje también! - 07/03/2023";2023-03-07 18:01;"95";"6866"
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/9683cd0986451390cbfa_tvpublica_41030232425_1678143460//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1757703584";"Ag3: Las partidas de Flor en el Zonal de Paraguay";2023-03-06 17:57;"213";"5746"
"https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/7acb103187dc9bbde8c9_tvpublica_41009437865_1677797928//thumb/thumb0-320x180.jpg";"https://www.twitch.tv/videos/1753864923";"Hola País: Cortes de luz y ola de calor";2023-03-02 17:58;"142";"5955"
