Type;Post URL;Content;Timestamp;Media URL;Impressions (Organic);Impressions (Paid);Reach (Organic);Reach (Paid);Replies;Taps Back;Taps Forward;Exits
"VIDEO";"https://instagram.com/stories/tv_publica/3092765302614871085";"@juliandoregger @flor.fdz @torreblancaajedrez";2023-04-30 22:48;"https://scontent-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/804FD9164097DDEDDAF7C7B9EC78499E_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=scontent-lcy1-1.cdninstagram.com&_nc_cat=105&vs=981584969867444_2040722882&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzgwNEZEOTE2NDA5N0RERUREQUY3QzdCOUVDNzg0OTlFX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHTHJhakJSd1V2bjFNMFVEQU9seXhsMDZPS011YnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaajpKkl9q3PxUCKAJDMywXQC4AAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfDfqnlx04-NQQtth0lOWeLGrpMpxfUVTJVjEXapw8qljg&oe=645129D3&_nc_sid=ea0b6e&_nc_rid=d495ec9a1b";1271;;1271;;0;55;1057;122
"VIDEO";"https://instagram.com/stories/tv_publica/3092715371061450206";"@litovitaleoficial @andychango_oficial @hernan_jacinto";2023-04-30 21:20;"https://scontent-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/3A4DE0487182CC98900262AFCC373BAD_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=scontent-lcy1-1.cdninstagram.com&_nc_cat=108&vs=281888400886807_1673773784&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzNBNERFMDQ4NzE4MkNDOTg5MDAyNjJBRkNDMzczQkFEX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHR3R1YlJSTFBPako4RWtXQURSRGRSTnNhWEJfYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaCprH43MjtPxUCKAJDMywXQC4AAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfB0AibLUhq6CcMiAnuKJpFQ5N8V3EaSTpvBpD7W3m1sBA&oe=6450AAB0&_nc_sid=ea0b6e&_nc_rid=9c16b14424";1427;;1426;;0;31;1209;158
"VIDEO";"https://instagram.com/stories/tv_publica/3092641748737038408";;2023-04-30 18:54;"https://scontent-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/774AEA40FEF69C64BC97E9A5BDAEF096_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=scontent-lcy1-1.cdninstagram.com&_nc_cat=110&vs=789001579103973_3936131734&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzc3NEFFQTQwRkVGNjlDNjRCQzk3RTlBNUJEQUVGMDk2X3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHQTRjaWhSUnZ4WnpCbjRBQUFMWUZXbVlRZlo0YnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbG%2BNTyvZzLPxUCKAJDMywXQC4MSbpeNT8YEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfC95CGjJLYOabhmIR7rJy-gc1DgU6NsDcS5JiMpjSP3PQ&oe=6450D817&_nc_sid=ea0b6e&_nc_rid=dbbf5290ac";1539;;1539;;0;24;1259;154
"VIDEO";"https://instagram.com/stories/tv_publica/3092496631556413069";;2023-04-30 14:05;"https://scontent-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/AB4B8ED1BE9ABD8B75AE54990D3743B7_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=scontent-lcy1-1.cdninstagram.com&_nc_cat=101&vs=170906992233056_2629237860&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0FCNEI4RUQxQkU5QUJEOEI3NUFFNTQ5OTBEMzc0M0I3X3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHUHNLZlJRMFB0by12MFVEQU1ibXdZUTdiN3BDYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACb%2Byqmc4JX2PxUCKAJDMywXQCaItDlYEGIYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfBytrL9TWb3e4R1GA5B-m6rLGr5G-Ady6Ac6gtaqrn6pQ&oe=6450AD4F&_nc_sid=ea0b6e&_nc_rid=06c45f12aa";1939;;1935;;0;12;1240;274
"VIDEO";"https://instagram.com/stories/tv_publica/3091795311992006226";;2023-04-29 14:52;"https://scontent-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/874BBE15B38E428FBFB6AA006E1DA2AC_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=scontent-lcy1-1.cdninstagram.com&_nc_cat=109&vs=1687081485045021_2602285984&_nc_vs=HBkcFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzg3NEJCRTE1QjM4RTQyOEZCRkI2QUEwMDZFMURBMkFDX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBACgAGAAbAYgHdXNlX29pbAExFQAAJtbM0JvA8PE%2FFQIoAkMzLBdAFAAAAAAAABgSZGFzaF9iYXNlbGluZV8xX3YxEQB16AcA&ccb=9-4&oh=00_AfBS2Izz62Mourrz0lgDHueljBw33Ogszx35f3SIZtgV-w&oe=644F8CC5&_nc_sid=ea0b6e&_nc_rid=4c32d7d205";978;;971;;0;20;745;183
"VIDEO";"https://instagram.com/stories/tv_publica/3091717630227323143";"@litovitaleoficial @lebondavidok @cotioficial";2023-04-29 12:17;"https://scontent-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/3B45625A4076DEA5E0E31CFE254988AC_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=scontent-lcy1-1.cdninstagram.com&_nc_cat=104&vs=604227068320990_4052979695&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzNCNDU2MjVBNDA3NkRFQTVFMEUzMUNGRTI1NDk4OEFDX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHQ1AxZEJSWTlGNlExbDRNQU00bjU4bUtES1luYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACa2l67C7%2FriPxUCKAJDMywXQC4AAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfB5BUdrSa8Pc5bhfbq8HOOcd7k4dS0A7-BGYWyTxdDQeQ&oe=644FCD34&_nc_sid=ea0b6e&_nc_rid=f6b23cfa70";869;;854;;0;15;781;68
"VIDEO";"https://instagram.com/stories/tv_publica/3091683832877900005";"@niparatore @virbusnelli";2023-04-29 11:10;"https://scontent-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/8D47969DB9497C13711F876F66CB03BC_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=scontent-lcy1-1.cdninstagram.com&_nc_cat=109&vs=5595566837215737_1777881223&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzhENDc5NjlEQjk0OTdDMTM3MTFGODc2RjY2Q0IwM0JDX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHS3YxZ3hUdFhLbHYxcW9DQUkzWld2TldudmxnYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACb40dL4rqmiQBUCKAJDMywXQC4AAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfDPjaesikIOCESXjbr7ZEkK5rHnyIzMpOFP39eyD_IOpg&oe=644FA41B&_nc_sid=ea0b6e&_nc_rid=06fc32ef63";974;;959;;0;21;790;62
"VIDEO";"https://instagram.com/stories/tv_publica/3091328686444689212";"@taniawed @marianoanga";2023-04-28 23:24;"https://scontent-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/F04BEBF6F117C8F08DE99AF9BC734999_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=scontent-lcy1-1.cdninstagram.com&_nc_cat=100&vs=624289659751614_2023278526&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0YwNEJFQkY2RjExN0M4RjA4REU5OUFGOUJDNzM0OTk5X3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHTVZ5YkJTdHREMXVPS1lIQUdaVEVncFlMMTVXYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbW5cmitJHqPxUCKAJDMywXQC4AAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfBdLITdZUPHx8IVmoHe8zceMZvRVRF_cDEJniNa7Lh8cQ&oe=644E733B&_nc_sid=ea0b6e&_nc_rid=c14bbbea63";975;;959;;13;13;748;120
"VIDEO";"https://instagram.com/stories/tv_publica/3091210934623124916";"@marmascioni @tec.ciencia.ar @sol_despeinada @leylabecha @fjordphyto";2023-04-28 19:28;"https://scontent-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/E04407C3229A253E2BFCDAEA941B4BBE_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=scontent-lcy1-1.cdninstagram.com&_nc_cat=104&vs=3419352291686209_1081771699&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0UwNDQwN0MzMjI5QTI1M0UyQkZDREFFQTk0MUI0QkJFX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHRVNmZWhSRHppQVVQczhDQU40emxVQ2NnOTFmYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbkscCnzZ78PxUCKAJDMywXQC4AAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfDNXpO9YgA5vwg5Gdwgo4Kl3cZle8PR69JMuDiIKMY6zA&oe=644E0DB5&_nc_sid=ea0b6e&_nc_rid=56822fabfa";923;;923;;0;18;815;73
"VIDEO";"https://instagram.com/stories/tv_publica/3091155589699551184";"@flor.fdz @juliandoregger @torreblancaajedrez @team_fiorito.chess";2023-04-28 17:41;"https://scontent-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/9842E2098AE11E140B1EAD47E730A5A9_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=scontent-lcy1-1.cdninstagram.com&_nc_cat=111&vs=249192017603971_2740258912&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzk4NDJFMjA5OEFFMTFFMTQwQjFFQUQ0N0U3MzBBNUE5X3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHTDZBZ0JRUmFpaVh5VDRDQUxyR1kwRDNockVBYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbepI3TzcbaQBUCKAJDMywXQC4AAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfBkugElqRAdewFL4B544XfqeiaKItQyLrrjC_j6yPV0Nw&oe=644E533A&_nc_sid=ea0b6e&_nc_rid=c4f068f27a";991;;975;;0;17;863;79
